surface,true_point,code_id,force_v_slope,force_v_intercept,force_v_r2,force_v_n,force_cp_slope,force_cp_intercept,force_cp_r2,force_cp_n,Cp_pF_at_V0,Cp_pF_at_V1
flat,1,8,0.0269492,0.0820818,0.8482,2000,-0.00248403,1.53133,0.9863,6,1.5389,1.4467
flat,2,4,0.0166005,0.381815,0.8184,1998,-0.00344993,1.56928,0.9873,6,1.6486,1.4408
flat,3,1,0.0238554,0.3525,0.8365,1998,-0.00503443,1.3175,0.9977,6,1.3919,1.1809
flat,4,13,0.0165864,0.244308,0.8243,1998,-0.00267186,1.85394,0.9816,6,1.8933,1.7322
flat,5,9,0.0129744,0.278047,0.7735,1997,-0.00382227,1.85335,0.9844,6,1.9353,1.6407
flat,6,5,0.0202827,0.35441,0.8473,1998,-0.00393113,1.64288,0.9903,6,1.7116,1.5178
flat,7,2,0.0172426,0.337774,0.8077,1998,-0.00402613,1.41111,0.9927,6,1.49,1.2565
flat,8,17,0.0191455,0.174961,0.7526,1997,-0.0021561,1.6185,0.9943,6,1.6382,1.5256
flat,9,14,0.0162202,0.0962219,0.6815,1998,-0.00362642,1.85087,0.9833,6,1.8724,1.6488
flat,10,10,0.013326,0.103564,0.5499,1997,-0.00384833,1.82394,0.9881,6,1.8538,1.5651
flat,11,6,0.0154392,0.192043,0.6312,1998,-0.00385029,1.61916,0.9853,6,1.6671,1.4177
flat,12,3,0.0250638,0.125944,0.7772,1999,-0.00282721,1.31253,0.9804,6,1.3267,1.2139
flat,13,18,0.0147028,0.331585,0.8329,1997,-0.00358806,1.5885,0.9874,6,1.6694,1.4254
flat,14,15,0.0162178,0.293308,0.8281,1998,-0.00423112,1.73192,0.9875,6,1.8084,1.5475
flat,15,11,0.0105836,0.299723,0.6751,1996,-0.00375334,1.60113,0.9881,6,1.7074,1.3528
flat,16,7,0.0208165,0.259072,0.8155,1999,-0.00293257,1.3249,0.9829,6,1.3614,1.2205
flat,17,19,0.0236761,0.296015,0.8593,1998,-0.00358739,1.31933,0.9887,6,1.3642,1.2127
flat,18,16,0.02025,0.303771,0.8489,1996,-0.00296015,1.36753,0.9938,6,1.4119,1.2658
flat,19,12,0.0230901,0.133669,0.7731,1997,-0.00295939,1.22586,0.9812,6,1.243,1.1148
solid,1,8,0.0216489,0.0783558,0.352,1998,-0.00426278,1.2707,0.9871,6,1.2861,1.0892
solid,2,4,0.0371813,0.318552,0.8426,1999,-0.00578464,1.10705,0.9946,6,1.1566,1.001
solid,3,1,0.0416482,0.290002,0.836,1998,-0.00561681,1.18747,0.985,6,1.2266,1.0917
solid,4,13,-0.0169632,0.161104,0.2622,1998,-0.00471221,1.97102,0.9688,6,1.9263,2.2041
solid,5,9,0.0333187,0.124681,0.6595,1999,-0.00623968,1.48812,0.9954,6,1.5115,1.3242
solid,6,5,0.03737,0.00813779,0.7324,1997,-0.00596247,1.43765,0.996,6,1.4389,1.2794
solid,7,2,0.0381361,0.231848,0.7826,1996,-0.00593597,1.29854,0.9822,6,1.3346,1.179
solid,8,17,0.0374494,-0.00668086,0.7675,1995,-0.00198056,0.054813,0.9702,6,0.05446,0.0015734
solid,9,14,-0.0139635,0.149111,0.1588,1998,-0.00533728,1.62147,0.9861,6,1.5645,1.9467
solid,10,10,0.0150314,0.072023,0.1639,1996,-0.00518466,1.65007,0.9338,6,1.6749,1.33
solid,11,6,0.0334515,0.0715516,0.6407,1998,-0.00591495,1.68306,0.9826,6,1.6957,1.5189
solid,12,3,0.0424394,0.133679,0.7742,1997,-0.00419276,1.29848,0.9663,6,1.3117,1.2129
solid,13,18,0.0314626,0.159931,0.6078,1998,-0.0019872,0.318478,0.9987,6,0.32858,0.26542
solid,14,15,-0.0241295,0.269839,0.3626,1999,-0.00413199,1.40574,0.9491,6,1.3595,1.5308
solid,15,11,0.019722,0.0799485,0.3217,1999,-0.00570602,1.42507,0.9712,6,1.4482,1.1589
solid,16,7,0.0191434,0.169964,0.3664,1999,-0.00466302,1.06135,0.972,6,1.1028,0.85917
solid,17,19,0.0331868,0.279309,0.8123,2000,-0.00223532,0.08195,0.9539,6,0.10076,0.033407
solid,18,16,0.0231861,0.259122,0.6588,1998,-0.00555099,0.935502,0.9852,6,0.99754,0.75813
solid,19,12,0.0340827,0.116451,0.7074,1998,-0.00459629,1.3974,0.9474,6,1.4131,1.2782
hollow,1,8,0.0619171,0.103217,0.8282,2000,-0.00819797,1.83867,0.9961,6,1.8523,1.7199
hollow,2,4,0.110189,-0.169103,0.7786,1998,-0.0120712,1.72965,0.9966,6,1.7111,1.6016
hollow,3,1,0.139598,-0.125407,0.7575,1998,-0.0181435,1.39428,0.9672,6,1.378,1.248
hollow,4,13,0.054033,0.248376,0.7804,1997,-0.0100449,1.92153,0.9936,6,1.9677,1.7818
hollow,5,9,0.0511992,0.207244,0.8566,1996,-0.0108438,1.98281,0.995,6,2.0267,1.8149
hollow,6,5,0.0599925,0.221337,0.8505,1998,-0.0146989,1.85257,0.9923,6,1.9068,1.6618
hollow,7,2,0.0591926,0.224088,0.8457,1999,-0.00446408,0.640023,0.7547,6,0.65692,0.58151
hollow,8,17,0.0828483,-0.0118479,0.815,1999,-0.00974472,1.71378,0.9447,6,1.7124,1.5948
hollow,9,14,0.0811267,-0.0743469,0.8403,1998,-0.0112573,1.99177,0.9958,6,1.9815,1.8427
hollow,10,10,0.118068,-0.255464,0.7321,1999,-0.0178373,2.02339,0.84,6,1.9848,1.8337
hollow,11,6,0.108599,-0.213427,0.8151,1997,-0.0132227,1.83753,0.9886,6,1.8115,1.6898
hollow,12,3,0.0905232,-0.109712,0.8245,2000,-0.00917987,1.53287,0.9993,6,1.5217,1.4203
hollow,13,18,0.0882094,0.114087,0.8938,1998,-0.0122367,1.61752,0.9987,6,1.6333,1.4946
hollow,14,15,0.0690023,0.118396,0.8746,1998,-0.0139498,1.77589,0.9853,6,1.7998,1.5977
hollow,15,11,0.13947,-0.285287,0.855,1996,-0.0106631,1.43722,0.9853,6,1.4154,1.339
hollow,16,7,0.0733376,0.204975,0.7323,1995,-0.0110342,1.64471,0.9838,6,1.6756,1.5251
hollow,17,19,0.0953127,0.110673,0.885,1997,-0.0146846,1.27878,0.993,6,1.2958,1.1418
hollow,18,16,0.082582,0.0905153,0.863,1998,-0.0119571,1.48985,0.9994,6,1.503,1.3582
hollow,19,12,0.13522,-0.197608,0.8171,1998,-0.0127213,1.51526,0.9911,6,1.4967,1.4026
