surface,true_point,code_id,slope_A,intercept_B,r2_weakest_link
flat,1,8,-0.0922,1.5389,0.8482
flat,2,4,-0.2078,1.6486,0.8184
flat,3,1,-0.211,1.3919,0.8365
flat,4,13,-0.1611,1.8933,0.8243
flat,5,9,-0.2946,1.9353,0.7735
flat,6,5,-0.1938,1.7116,0.8473
flat,7,2,-0.2335,1.49,0.8077
flat,8,17,-0.1126,1.6382,0.7526
flat,9,14,-0.2236,1.8724,0.6815
flat,10,10,-0.2887,1.8538,0.5499
flat,11,6,-0.2494,1.6671,0.6312
flat,12,3,-0.1128,1.3267,0.7772
flat,13,18,-0.244,1.6694,0.8329
flat,14,15,-0.2609,1.8084,0.8281
flat,15,11,-0.3546,1.7074,0.6751
flat,16,7,-0.1409,1.3614,0.8155
flat,17,19,-0.1515,1.3642,0.8593
flat,18,16,-0.1461,1.4119,0.8489
flat,19,12,-0.1282,1.243,0.7731
solid,1,8,-0.1969,1.2861,0.352
solid,2,4,-0.1556,1.1566,0.8426
solid,3,1,-0.1349,1.2266,0.836
solid,4,13,0.2778,1.9263,0.2622
solid,5,9,-0.1873,1.5115,0.6595
solid,6,5,-0.1595,1.4389,0.7324
solid,7,2,-0.1556,1.3346,0.7826
solid,8,17,-0.0528866,0.05446,0.7675
solid,9,14,0.3822,1.5645,0.1588
solid,10,10,-0.3449,1.6749,0.1639
solid,11,6,-0.1768,1.6957,0.6407
solid,12,3,-0.0988,1.3117,0.7742
solid,13,18,-0.06316,0.32858,0.6078
solid,14,15,0.1713,1.3595,0.3626
solid,15,11,-0.2893,1.4482,0.3217
solid,16,7,-0.24363,1.1028,0.3664
solid,17,19,-0.067353,0.10076,0.8123
solid,18,16,-0.23941,0.99754,0.6588
solid,19,12,-0.1349,1.4131,0.7074
hollow,1,8,-0.1324,1.8523,0.8282
hollow,2,4,-0.1095,1.7111,0.7786
hollow,3,1,-0.13,1.378,0.7575
hollow,4,13,-0.1859,1.9677,0.7804
hollow,5,9,-0.2118,2.0267,0.8566
hollow,6,5,-0.245,1.9068,0.8505
hollow,7,2,-0.07541,0.65692,0.7547
hollow,8,17,-0.1176,1.7124,0.815
hollow,9,14,-0.1388,1.9815,0.8403
hollow,10,10,-0.1511,1.9848,0.7321
hollow,11,6,-0.1217,1.8115,0.8151
hollow,12,3,-0.1014,1.5217,0.8245
hollow,13,18,-0.1387,1.6333,0.8938
hollow,14,15,-0.2021,1.7998,0.8746
hollow,15,11,-0.0764,1.4154,0.855
hollow,16,7,-0.1505,1.6756,0.7323
hollow,17,19,-0.154,1.2958,0.885
hollow,18,16,-0.1448,1.503,0.863
hollow,19,12,-0.0941,1.4967,0.8171
