surface,true_point,round_idx,phase,raw_own,V_own,Cp_pF_estimated
flat,1,0,press,21.0000,0.16667,1.90140
flat,1,0,press,21.0000,0.16667,1.90140
flat,1,0,press,22.0000,0.23570,1.83776
flat,1,0,press,22.0000,0.23570,1.83776
flat,1,0,press,21.0000,0.16667,1.90140
flat,1,0,press,21.0000,0.16667,1.90140
flat,1,0,press,22.0000,0.23570,1.83776
flat,1,0,press,20.0000,0.00000,2.05504
flat,1,0,press,20.0000,0.00000,2.05504
flat,1,0,press,20.0000,0.00000,2.05504
flat,1,0,press,20.0000,0.00000,2.05504
flat,1,0,press,21.0000,0.16667,1.90140
flat,1,0,press,21.0000,0.16667,1.90140
flat,1,0,press,21.0000,0.16667,1.90140
flat,1,0,press,20.0000,0.00000,2.05504
flat,1,0,press,20.0000,0.00000,2.05504
flat,1,0,press,22.0000,0.23570,1.83776
flat,1,0,press,23.0000,0.28868,1.78893
flat,1,0,press,23.0000,0.28868,1.78893
flat,1,0,press,23.0000,0.28868,1.78893
flat,1,0,press,23.0000,0.28868,1.78893
flat,1,0,press,23.0000,0.28868,1.78893
flat,1,0,press,23.0000,0.28868,1.78893
flat,1,0,press,25.0000,0.37268,1.71149
flat,1,0,press,26.0000,0.40825,1.67870
flat,1,0,press,26.0000,0.40825,1.67870
flat,1,0,press,25.0000,0.37268,1.71149
flat,1,0,press,25.0000,0.37268,1.71149
flat,1,0,press,27.0000,0.44096,1.64855
flat,1,0,press,28.0000,0.47140,1.62048
flat,1,0,press,28.0000,0.47140,1.62048
flat,1,0,press,28.0000,0.47140,1.62048
flat,1,0,press,28.0000,0.47140,1.62048
flat,1,0,press,31.0000,0.55277,1.54548
flat,1,0,press,32.0000,0.57735,1.52282
flat,1,0,press,32.0000,0.57735,1.52282
flat,1,0,press,33.0000,0.60093,1.50109
flat,1,0,press,33.0000,0.60093,1.50109
flat,1,0,press,36.0000,0.66667,1.44048
flat,1,0,press,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,34.0000,0.62361,1.48018
flat,1,0,hold,34.0000,0.62361,1.48018
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,37.0000,0.68718,1.42157
flat,1,0,hold,37.0000,0.68718,1.42157
flat,1,0,hold,34.0000,0.62361,1.48018
flat,1,0,hold,34.0000,0.62361,1.48018
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,38.0000,0.70711,1.40321
flat,1,0,hold,38.0000,0.70711,1.40321
flat,1,0,hold,37.0000,0.68718,1.42157
flat,1,0,hold,37.0000,0.68718,1.42157
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,37.0000,0.68718,1.42157
flat,1,0,hold,37.0000,0.68718,1.42157
flat,1,0,hold,37.0000,0.68718,1.42157
flat,1,0,hold,37.0000,0.68718,1.42157
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,37.0000,0.68718,1.42157
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,33.0000,0.60093,1.50109
flat,1,0,hold,37.0000,0.68718,1.42157
flat,1,0,hold,37.0000,0.68718,1.42157
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,34.0000,0.62361,1.48018
flat,1,0,hold,34.0000,0.62361,1.48018
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,34.0000,0.62361,1.48018
flat,1,0,hold,34.0000,0.62361,1.48018
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,34.0000,0.62361,1.48018
flat,1,0,hold,34.0000,0.62361,1.48018
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,36.0000,0.66667,1.44048
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,35.0000,0.64550,1.46000
flat,1,0,hold,34.0000,0.62361,1.48018
flat,1,0,retract,34.0000,0.62361,1.48018
flat,1,0,retract,34.0000,0.62361,1.48018
flat,1,0,retract,35.0000,0.64550,1.46000
flat,1,0,retract,35.0000,0.64550,1.46000
flat,1,0,retract,35.0000,0.64550,1.46000
flat,1,0,retract,35.0000,0.64550,1.46000
flat,1,0,retract,35.0000,0.64550,1.46000
flat,1,0,retract,35.0000,0.64550,1.46000
flat,1,0,retract,35.0000,0.64550,1.46000
flat,1,0,retract,32.0000,0.57735,1.52282
flat,1,0,retract,31.0000,0.55277,1.54548
flat,1,0,retract,31.0000,0.55277,1.54548
flat,1,0,retract,31.0000,0.55277,1.54548
flat,1,0,retract,31.0000,0.55277,1.54548
flat,1,0,retract,28.0000,0.47140,1.62048
flat,1,0,retract,28.0000,0.47140,1.62048
flat,1,0,retract,28.0000,0.47140,1.62048
flat,1,0,retract,28.0000,0.47140,1.62048
flat,1,0,retract,28.0000,0.47140,1.62048
flat,1,0,retract,26.0000,0.40825,1.67870
flat,1,0,retract,26.0000,0.40825,1.67870
flat,1,0,retract,24.0000,0.33333,1.74776
flat,1,0,retract,23.0000,0.28868,1.78893
flat,1,0,retract,23.0000,0.28868,1.78893
flat,1,0,retract,22.0000,0.23570,1.83776
flat,1,0,retract,22.0000,0.23570,1.83776
flat,1,0,retract,21.0000,0.16667,1.90140
flat,1,0,retract,21.0000,0.16667,1.90140
flat,1,0,retract,21.0000,0.16667,1.90140
flat,1,0,retract,21.0000,0.16667,1.90140
flat,1,0,retract,21.0000,0.16667,1.90140
flat,1,0,retract,20.0000,0.00000,2.05504
flat,1,0,retract,20.0000,0.00000,2.05504
flat,1,0,retract,20.0000,0.00000,2.05504
flat,1,0,retract,19.0000,0.00000,2.05504
flat,1,0,retract,19.0000,0.00000,2.05504
flat,1,0,retract,20.0000,0.00000,2.05504
flat,1,0,retract,20.0000,0.00000,2.05504
flat,1,0,retract,19.0000,0.00000,2.05504
flat,1,0,retract,18.0000,0.00000,2.05504
flat,1,1,press,19.0000,0.00000,2.05504
flat,1,1,press,19.0000,0.00000,2.05504
flat,1,1,press,20.0000,0.00000,2.05504
flat,1,1,press,20.0000,0.00000,2.05504
flat,1,1,press,19.0000,0.00000,2.05504
flat,1,1,press,19.0000,0.00000,2.05504
flat,1,1,press,20.0000,0.00000,2.05504
flat,1,1,press,19.0000,0.00000,2.05504
flat,1,1,press,19.0000,0.00000,2.05504
flat,1,1,press,19.0000,0.00000,2.05504
flat,1,1,press,19.0000,0.00000,2.05504
flat,1,1,press,19.0000,0.00000,2.05504
flat,1,1,press,21.0000,0.16667,1.90140
flat,1,1,press,21.0000,0.16667,1.90140
flat,1,1,press,21.0000,0.16667,1.90140
flat,1,1,press,21.0000,0.16667,1.90140
flat,1,1,press,20.0000,0.00000,2.05504
flat,1,1,press,23.0000,0.28868,1.78893
flat,1,1,press,23.0000,0.28868,1.78893
flat,1,1,press,21.0000,0.16667,1.90140
flat,1,1,press,21.0000,0.16667,1.90140
flat,1,1,press,22.0000,0.23570,1.83776
flat,1,1,press,22.0000,0.23570,1.83776
flat,1,1,press,23.0000,0.28868,1.78893
flat,1,1,press,25.0000,0.37268,1.71149
flat,1,1,press,25.0000,0.37268,1.71149
flat,1,1,press,25.0000,0.37268,1.71149
flat,1,1,press,25.0000,0.37268,1.71149
flat,1,1,press,25.0000,0.37268,1.71149
flat,1,1,press,28.0000,0.47140,1.62048
flat,1,1,press,28.0000,0.47140,1.62048
flat,1,1,press,28.0000,0.47140,1.62048
flat,1,1,press,28.0000,0.47140,1.62048
flat,1,1,press,29.0000,0.50000,1.59412
flat,1,1,press,32.0000,0.57735,1.52282
flat,1,1,press,32.0000,0.57735,1.52282
flat,1,1,press,32.0000,0.57735,1.52282
flat,1,1,press,32.0000,0.57735,1.52282
flat,1,1,press,35.0000,0.64550,1.46000
flat,1,1,press,35.0000,0.64550,1.46000
flat,1,1,hold,33.0000,0.60093,1.50109
flat,1,1,hold,36.0000,0.66667,1.44048
flat,1,1,hold,36.0000,0.66667,1.44048
flat,1,1,hold,36.0000,0.66667,1.44048
flat,1,1,hold,36.0000,0.66667,1.44048
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,36.0000,0.66667,1.44048
flat,1,1,hold,36.0000,0.66667,1.44048
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,36.0000,0.66667,1.44048
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,34.0000,0.62361,1.48018
flat,1,1,hold,34.0000,0.62361,1.48018
flat,1,1,hold,37.0000,0.68718,1.42157
flat,1,1,hold,37.0000,0.68718,1.42157
flat,1,1,hold,36.0000,0.66667,1.44048
flat,1,1,hold,37.0000,0.68718,1.42157
flat,1,1,hold,37.0000,0.68718,1.42157
flat,1,1,hold,37.0000,0.68718,1.42157
flat,1,1,hold,37.0000,0.68718,1.42157
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,36.0000,0.66667,1.44048
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,37.0000,0.68718,1.42157
flat,1,1,hold,37.0000,0.68718,1.42157
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,36.0000,0.66667,1.44048
flat,1,1,hold,34.0000,0.62361,1.48018
flat,1,1,hold,34.0000,0.62361,1.48018
flat,1,1,hold,36.0000,0.66667,1.44048
flat,1,1,hold,36.0000,0.66667,1.44048
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,34.0000,0.62361,1.48018
flat,1,1,hold,34.0000,0.62361,1.48018
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,35.0000,0.64550,1.46000
flat,1,1,hold,36.0000,0.66667,1.44048
