surface,true_point,round_idx,phase,raw_own,muca_V,Cp_pF_estimated,chain_r2_min
flat,1,0,press,21.0000,0.16667,1.52353,0.8482
flat,1,0,press,21.0000,0.16667,1.52353,0.8482
flat,1,0,press,22.0000,0.23570,1.51717,0.8482
flat,1,0,press,22.0000,0.23570,1.51717,0.8482
flat,1,0,press,21.0000,0.16667,1.52353,0.8482
flat,1,0,press,21.0000,0.16667,1.52353,0.8482
flat,1,0,press,22.0000,0.23570,1.51717,0.8482
flat,1,0,press,20.0000,0.00000,1.53890,0.8482
flat,1,0,press,20.0000,0.00000,1.53890,0.8482
flat,1,0,press,20.0000,0.00000,1.53890,0.8482
flat,1,0,press,20.0000,0.00000,1.53890,0.8482
flat,1,0,press,21.0000,0.16667,1.52353,0.8482
flat,1,0,press,21.0000,0.16667,1.52353,0.8482
flat,1,0,press,21.0000,0.16667,1.52353,0.8482
flat,1,0,press,20.0000,0.00000,1.53890,0.8482
flat,1,0,press,20.0000,0.00000,1.53890,0.8482
flat,1,0,press,22.0000,0.23570,1.51717,0.8482
flat,1,0,press,23.0000,0.28868,1.51229,0.8482
flat,1,0,press,23.0000,0.28868,1.51229,0.8482
flat,1,0,press,23.0000,0.28868,1.51229,0.8482
flat,1,0,press,23.0000,0.28868,1.51229,0.8482
flat,1,0,press,23.0000,0.28868,1.51229,0.8482
flat,1,0,press,23.0000,0.28868,1.51229,0.8482
flat,1,0,press,25.0000,0.37268,1.50454,0.8482
flat,1,0,press,26.0000,0.40825,1.50127,0.8482
flat,1,0,press,26.0000,0.40825,1.50127,0.8482
flat,1,0,press,25.0000,0.37268,1.50454,0.8482
flat,1,0,press,25.0000,0.37268,1.50454,0.8482
flat,1,0,press,27.0000,0.44096,1.49825,0.8482
flat,1,0,press,28.0000,0.47140,1.49544,0.8482
flat,1,0,press,28.0000,0.47140,1.49544,0.8482
flat,1,0,press,28.0000,0.47140,1.49544,0.8482
flat,1,0,press,28.0000,0.47140,1.49544,0.8482
flat,1,0,press,31.0000,0.55277,1.48794,0.8482
flat,1,0,press,32.0000,0.57735,1.48568,0.8482
flat,1,0,press,32.0000,0.57735,1.48568,0.8482
flat,1,0,press,33.0000,0.60093,1.48351,0.8482
flat,1,0,press,33.0000,0.60093,1.48351,0.8482
flat,1,0,press,36.0000,0.66667,1.47745,0.8482
flat,1,0,press,36.0000,0.66667,1.47745,0.8482
flat,1,0,hold,36.0000,0.66667,1.47745,0.8482
flat,1,0,hold,36.0000,0.66667,1.47745,0.8482
flat,1,0,hold,36.0000,0.66667,1.47745,0.8482
flat,1,0,hold,36.0000,0.66667,1.47745,0.8482
