surface,true_point,round_idx,phase,raw_own,force_N,Cp_pF_estimated_general
flat,1,0,press,21.0000,2.6612,1.59397
flat,1,0,press,21.0000,2.7597,1.59358
flat,1,0,press,22.0000,2.6970,1.59383
flat,1,0,press,22.0000,2.7665,1.59356
flat,1,0,press,21.0000,2.7732,1.59353
flat,1,0,press,21.0000,2.6858,1.59387
flat,1,0,press,22.0000,2.6858,1.59387
flat,1,0,press,20.0000,2.7889,1.59347
flat,1,0,press,20.0000,2.6567,1.59398
flat,1,0,press,20.0000,2.7239,1.59372
flat,1,0,press,20.0000,2.8157,1.59337
flat,1,0,press,21.0000,2.7889,1.59347
flat,1,0,press,21.0000,2.7217,1.59373
flat,1,0,press,21.0000,2.6388,1.59405
flat,1,0,press,20.0000,2.6970,1.59383
flat,1,0,press,20.0000,2.6365,1.59406
flat,1,0,press,22.0000,2.7060,1.59379
flat,1,0,press,23.0000,2.7553,1.59360
flat,1,0,press,23.0000,2.6724,1.59392
flat,1,0,press,23.0000,2.7037,1.59380
flat,1,0,press,23.0000,3.0218,1.59256
flat,1,0,press,23.0000,3.6019,1.59030
flat,1,0,press,23.0000,4.4666,1.58693
flat,1,0,press,25.0000,5.4319,1.58317
flat,1,0,press,26.0000,6.4668,1.57914
flat,1,0,press,26.0000,7.6226,1.57463
flat,1,0,press,25.0000,8.8478,1.56986
flat,1,0,press,25.0000,10.1760,1.56468
flat,1,0,press,27.0000,11.3587,1.56007
flat,1,0,press,28.0000,12.8124,1.55441
flat,1,0,press,28.0000,14.1339,1.54926
flat,1,0,press,28.0000,15.4890,1.54398
flat,1,0,press,28.0000,16.9091,1.53844
flat,1,0,press,31.0000,18.0201,1.53411
flat,1,0,press,32.0000,18.9698,1.53041
flat,1,0,press,32.0000,19.6866,1.52762
flat,1,0,press,33.0000,20.2421,1.52546
flat,1,0,press,33.0000,20.7752,1.52338
flat,1,0,press,36.0000,21.0350,1.52237
flat,1,0,press,36.0000,21.2881,1.52138
flat,1,0,hold,36.0000,21.2165,1.52166
flat,1,0,hold,36.0000,21.3979,1.52095
flat,1,0,hold,36.0000,21.4180,1.52087
flat,1,0,hold,36.0000,21.3352,1.52120
flat,1,0,hold,36.0000,21.2747,1.52143
flat,1,0,hold,35.0000,21.2859,1.52139
flat,1,0,hold,35.0000,21.2388,1.52157
flat,1,0,hold,35.0000,21.2142,1.52167
flat,1,0,hold,34.0000,21.1000,1.52211
flat,1,0,hold,34.0000,21.1627,1.52187
flat,1,0,hold,35.0000,21.1313,1.52199
flat,1,0,hold,35.0000,21.1022,1.52210
flat,1,0,hold,35.0000,21.0597,1.52227
flat,1,0,hold,37.0000,21.0664,1.52224
flat,1,0,hold,37.0000,21.0350,1.52237
flat,1,0,hold,34.0000,20.9656,1.52264
flat,1,0,hold,34.0000,21.0574,1.52228
flat,1,0,hold,36.0000,20.9163,1.52283
flat,1,0,hold,36.0000,20.9678,1.52263
flat,1,0,hold,36.0000,20.9275,1.52278
flat,1,0,hold,36.0000,20.8782,1.52298
flat,1,0,hold,36.0000,20.9409,1.52273
flat,1,0,hold,35.0000,20.8222,1.52319
flat,1,0,hold,36.0000,20.9454,1.52271
flat,1,0,hold,36.0000,20.8827,1.52296
flat,1,0,hold,35.0000,20.8849,1.52295
flat,1,0,hold,35.0000,20.8693,1.52301
flat,1,0,hold,36.0000,20.7819,1.52335
flat,1,0,hold,38.0000,20.8290,1.52317
flat,1,0,hold,38.0000,20.7774,1.52337
