surface,true_point,round_idx,phase,raw_own,force_N,Cp_pF_estimated,fit_r2,fit_n
flat,1,0,press,21.0000,2.6612,1.52472,0.9863,6
flat,1,0,press,21.0000,2.7597,1.52447,0.9863,6
flat,1,0,press,22.0000,2.6970,1.52463,0.9863,6
flat,1,0,press,22.0000,2.7665,1.52446,0.9863,6
flat,1,0,press,21.0000,2.7732,1.52444,0.9863,6
flat,1,0,press,21.0000,2.6858,1.52466,0.9863,6
flat,1,0,press,22.0000,2.6858,1.52466,0.9863,6
flat,1,0,press,20.0000,2.7889,1.52440,0.9863,6
flat,1,0,press,20.0000,2.6567,1.52473,0.9863,6
flat,1,0,press,20.0000,2.7239,1.52456,0.9863,6
flat,1,0,press,20.0000,2.8157,1.52434,0.9863,6
flat,1,0,press,21.0000,2.7889,1.52440,0.9863,6
flat,1,0,press,21.0000,2.7217,1.52457,0.9863,6
flat,1,0,press,21.0000,2.6388,1.52478,0.9863,6
flat,1,0,press,20.0000,2.6970,1.52463,0.9863,6
flat,1,0,press,20.0000,2.6365,1.52478,0.9863,6
flat,1,0,press,22.0000,2.7060,1.52461,0.9863,6
flat,1,0,press,23.0000,2.7553,1.52449,0.9863,6
flat,1,0,press,23.0000,2.6724,1.52469,0.9863,6
flat,1,0,press,23.0000,2.7037,1.52461,0.9863,6
flat,1,0,press,23.0000,3.0218,1.52382,0.9863,6
flat,1,0,press,23.0000,3.6019,1.52238,0.9863,6
flat,1,0,press,23.0000,4.4666,1.52023,0.9863,6
flat,1,0,press,25.0000,5.4319,1.51784,0.9863,6
flat,1,0,press,26.0000,6.4668,1.51527,0.9863,6
flat,1,0,press,26.0000,7.6226,1.51240,0.9863,6
flat,1,0,press,25.0000,8.8478,1.50935,0.9863,6
flat,1,0,press,25.0000,10.1760,1.50605,0.9863,6
flat,1,0,press,27.0000,11.3587,1.50311,0.9863,6
flat,1,0,press,28.0000,12.8124,1.49950,0.9863,6
flat,1,0,press,28.0000,14.1339,1.49622,0.9863,6
flat,1,0,press,28.0000,15.4890,1.49285,0.9863,6
flat,1,0,press,28.0000,16.9091,1.48933,0.9863,6
flat,1,0,press,31.0000,18.0201,1.48657,0.9863,6
flat,1,0,press,32.0000,18.9698,1.48421,0.9863,6
flat,1,0,press,32.0000,19.6866,1.48243,0.9863,6
flat,1,0,press,33.0000,20.2421,1.48105,0.9863,6
flat,1,0,press,33.0000,20.7752,1.47972,0.9863,6
flat,1,0,press,36.0000,21.0350,1.47908,0.9863,6
flat,1,0,press,36.0000,21.2881,1.47845,0.9863,6
flat,1,0,hold,36.0000,21.2165,1.47863,0.9863,6
flat,1,0,hold,36.0000,21.3979,1.47818,0.9863,6
flat,1,0,hold,36.0000,21.4180,1.47813,0.9863,6
flat,1,0,hold,36.0000,21.3352,1.47833,0.9863,6
flat,1,0,hold,36.0000,21.2747,1.47848,0.9863,6
flat,1,0,hold,35.0000,21.2859,1.47846,0.9863,6
flat,1,0,hold,35.0000,21.2388,1.47857,0.9863,6
flat,1,0,hold,35.0000,21.2142,1.47863,0.9863,6
flat,1,0,hold,34.0000,21.1000,1.47892,0.9863,6
flat,1,0,hold,34.0000,21.1627,1.47876,0.9863,6
flat,1,0,hold,35.0000,21.1313,1.47884,0.9863,6
flat,1,0,hold,35.0000,21.1022,1.47891,0.9863,6
flat,1,0,hold,35.0000,21.0597,1.47902,0.9863,6
flat,1,0,hold,37.0000,21.0664,1.47900,0.9863,6
flat,1,0,hold,37.0000,21.0350,1.47908,0.9863,6
flat,1,0,hold,34.0000,20.9656,1.47925,0.9863,6
flat,1,0,hold,34.0000,21.0574,1.47902,0.9863,6
flat,1,0,hold,36.0000,20.9163,1.47937,0.9863,6
flat,1,0,hold,36.0000,20.9678,1.47925,0.9863,6
flat,1,0,hold,36.0000,20.9275,1.47935,0.9863,6
flat,1,0,hold,36.0000,20.8782,1.47947,0.9863,6
flat,1,0,hold,36.0000,20.9409,1.47931,0.9863,6
flat,1,0,hold,35.0000,20.8222,1.47961,0.9863,6
flat,1,0,hold,36.0000,20.9454,1.47930,0.9863,6
flat,1,0,hold,36.0000,20.8827,1.47946,0.9863,6
flat,1,0,hold,35.0000,20.8849,1.47945,0.9863,6
flat,1,0,hold,35.0000,20.8693,1.47949,0.9863,6
flat,1,0,hold,36.0000,20.7819,1.47971,0.9863,6
flat,1,0,hold,38.0000,20.8290,1.47959,0.9863,6
flat,1,0,hold,38.0000,20.7774,1.47972,0.9863,6
flat,1,0,hold,37.0000,20.8066,1.47965,0.9863,6
flat,1,0,hold,37.0000,20.7842,1.47970,0.9863,6
flat,1,0,hold,35.0000,20.7550,1.47977,0.9863,6
flat,1,0,hold,35.0000,20.7618,1.47976,0.9863,6
flat,1,0,hold,35.0000,20.6878,1.47994,0.9863,6
flat,1,0,hold,37.0000,20.7797,1.47971,0.9863,6
flat,1,0,hold,37.0000,20.6699,1.47999,0.9863,6
flat,1,0,hold,37.0000,20.7662,1.47975,0.9863,6
flat,1,0,hold,37.0000,20.6722,1.47998,0.9863,6
flat,1,0,hold,35.0000,20.7752,1.47972,0.9863,6
flat,1,0,hold,35.0000,20.7237,1.47985,0.9863,6
flat,1,0,hold,35.0000,20.6878,1.47994,0.9863,6
flat,1,0,hold,35.0000,20.6856,1.47995,0.9863,6
flat,1,0,hold,35.0000,20.6789,1.47996,0.9863,6
flat,1,0,hold,35.0000,20.6923,1.47993,0.9863,6
flat,1,0,hold,35.0000,20.6139,1.48012,0.9863,6
flat,1,0,hold,35.0000,20.7035,1.47990,0.9863,6
flat,1,0,hold,35.0000,20.6677,1.47999,0.9863,6
flat,1,0,hold,35.0000,20.6430,1.48005,0.9863,6
flat,1,0,hold,36.0000,20.6946,1.47992,0.9863,6
flat,1,0,hold,36.0000,20.6229,1.48010,0.9863,6
flat,1,0,hold,35.0000,20.6699,1.47999,0.9863,6
flat,1,0,hold,36.0000,20.6117,1.48013,0.9863,6
flat,1,0,hold,36.0000,20.6834,1.47995,0.9863,6
flat,1,0,hold,35.0000,20.6050,1.48015,0.9863,6
flat,1,0,hold,35.0000,20.6520,1.48003,0.9863,6
flat,1,0,hold,37.0000,20.6341,1.48007,0.9863,6
flat,1,0,hold,35.0000,20.5579,1.48026,0.9863,6
flat,1,0,hold,35.0000,20.5938,1.48017,0.9863,6
flat,1,0,hold,36.0000,20.5579,1.48026,0.9863,6
flat,1,0,hold,36.0000,20.5557,1.48027,0.9863,6
flat,1,0,hold,35.0000,20.5848,1.48020,0.9863,6
flat,1,0,hold,36.0000,20.5534,1.48027,0.9863,6
flat,1,0,hold,36.0000,20.6162,1.48012,0.9863,6
flat,1,0,hold,35.0000,20.5691,1.48024,0.9863,6
flat,1,0,hold,35.0000,20.5624,1.48025,0.9863,6
flat,1,0,hold,35.0000,20.5691,1.48024,0.9863,6
flat,1,0,hold,35.0000,20.5512,1.48028,0.9863,6
flat,1,0,hold,33.0000,20.6677,1.47999,0.9863,6
flat,1,0,hold,37.0000,20.5310,1.48033,0.9863,6
flat,1,0,hold,37.0000,20.5691,1.48024,0.9863,6
flat,1,0,hold,35.0000,20.5243,1.48035,0.9863,6
flat,1,0,hold,35.0000,20.5758,1.48022,0.9863,6
flat,1,0,hold,35.0000,20.5221,1.48035,0.9863,6
flat,1,0,hold,35.0000,20.5042,1.48040,0.9863,6
flat,1,0,hold,35.0000,20.4706,1.48048,0.9863,6
flat,1,0,hold,35.0000,20.5758,1.48022,0.9863,6
flat,1,0,hold,35.0000,20.5243,1.48035,0.9863,6
flat,1,0,hold,35.0000,20.5198,1.48036,0.9863,6
flat,1,0,hold,35.0000,20.5042,1.48040,0.9863,6
flat,1,0,hold,35.0000,20.5579,1.48026,0.9863,6
flat,1,0,hold,34.0000,20.4862,1.48044,0.9863,6
flat,1,0,hold,34.0000,20.5624,1.48025,0.9863,6
flat,1,0,hold,35.0000,20.4616,1.48050,0.9863,6
flat,1,0,hold,35.0000,20.5064,1.48039,0.9863,6
flat,1,0,hold,35.0000,20.5131,1.48037,0.9863,6
flat,1,0,hold,35.0000,20.5109,1.48038,0.9863,6
flat,1,0,hold,35.0000,20.5266,1.48034,0.9863,6
flat,1,0,hold,35.0000,20.4661,1.48049,0.9863,6
flat,1,0,hold,35.0000,20.5355,1.48032,0.9863,6
flat,1,0,hold,35.0000,20.4616,1.48050,0.9863,6
flat,1,0,hold,34.0000,20.5288,1.48034,0.9863,6
