surface,true_point,code_id,force_cp_slope,force_cp_intercept,force_cp_r2,force_cp_n,force_N,muca_raw,muca_V,Cp_pF_interp,Cp_pF_pooled_fit,residual_pF
flat,1,8,-0.00248403,1.53133,0.9863,6,20.67,34.54,0.63554,1.48,1.4692,0.010811
flat,2,4,-0.00344993,1.56928,0.9873,6,20.29,36.6,0.71879,1.4993,1.3924,0.10682
flat,3,1,-0.00503443,1.3175,0.9977,6,19.06,41.56,0.80891,1.2216,1.3094,-0.087806
flat,4,13,-0.00267186,1.85394,0.9816,6,21.55,31.97,0.60015,1.7964,1.5018,0.29457
flat,5,9,-0.00382227,1.85335,0.9844,6,21.38,30.01,0.55298,1.7716,1.5453,0.22634
flat,6,5,-0.00393113,1.64288,0.9903,6,21.35,40.34,0.78779,1.5589,1.3288,0.23011
flat,7,2,-0.00402613,1.41111,0.9927,6,19.3,35.09,0.66852,1.3334,1.4388,-0.10535
flat,8,17,-0.0021561,1.6185,0.9943,6,21.18,32.09,0.57943,1.5728,1.5209,0.051933
flat,9,14,-0.00362642,1.85087,0.9833,6,21.2,25.98,0.44033,1.774,1.6491,0.12485
flat,10,10,-0.00384833,1.82394,0.9881,6,20.5,23.14,0.37799,1.745,1.7066,0.038445
flat,11,6,-0.00385029,1.61916,0.9853,6,19.85,28.89,0.49684,1.5427,1.597,-0.054321
flat,12,3,-0.00282721,1.31253,0.9804,6,18.49,31.43,0.58762,1.2603,1.5133,-0.25308
flat,13,18,-0.00358806,1.5885,0.9874,6,21.14,32.79,0.64106,1.5127,1.4641,0.048569
flat,14,15,-0.00423112,1.73192,0.9875,6,20.59,33.06,0.62489,1.6448,1.479,0.16581
flat,15,11,-0.00375334,1.60113,0.9881,6,20,26.32,0.50891,1.5261,1.5859,-0.059854
flat,16,7,-0.00293257,1.3249,0.9829,6,18.18,33.6,0.63673,1.2716,1.4681,-0.1965
flat,17,19,-0.00358739,1.31933,0.9887,6,20.2,43.38,0.77073,1.2469,1.3446,-0.097687
flat,18,16,-0.00296015,1.36753,0.9938,6,19.62,38.59,0.69894,1.3094,1.4107,-0.10129
flat,19,12,-0.00295939,1.22586,0.9812,6,17.73,29.49,0.53989,1.1734,1.5574,-0.38398
solid,1,8,-0.00426278,1.2707,0.9871,6,10.61,25.59,0.31568,1.2255,1.2345,-0.0090832
solid,2,4,-0.00578464,1.10705,0.9946,6,10.58,39.27,0.71241,1.0459,0.79194,0.25394
solid,3,1,-0.00561681,1.18747,0.985,6,10.26,39.49,0.71662,1.1298,0.78725,0.3426
