timestamp,datetime,round_idx,sample_idx,point,depth_mm,phase,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,load_cell_N,Cp_F,Cp_pF,Rp_Ohm,lcr_ok
1782293534.8703,2026-06-24 11:32:14.870,0,0,15,10.0,locate,-0.033996,-0.502966,0.049457,0.793,0.4491,-5.2044,0.0264,0.0542,0.3307,4.68148,2.8337,2.46877e-12,2.46877,1e+20,0
1782293534.8705,2026-06-24 11:32:14.870,0,0,15,10.0,locate,-0.033996,-0.502966,0.049457,0.793,0.4491,-5.2044,0.0264,0.0542,0.3307,4.68148,2.8337,2.46877e-12,2.46877,1e+20,0
1782293534.8806,2026-06-24 11:32:14.880,0,0,15,10.0,locate,-0.033978,-0.502961,0.049471,0.841,0.7588,-5.0377,0.017,0.0546,0.3273,4.67695,2.874,2.46877e-12,2.46877,1e+20,0
1782293534.8908,2026-06-24 11:32:14.890,0,0,15,10.0,locate,-0.033984,-0.50297,0.049492,1.1504,0.3035,-4.9919,0.0278,0.0634,0.3359,4.67519,2.8897,2.46877e-12,2.46877,1e+20,0
1782293534.9009,2026-06-24 11:32:14.900,0,0,15,10.0,locate,-0.033975,-0.502972,0.049485,0.7143,0.7336,-5.2775,0.0207,0.052,0.3242,4.68022,2.8449,2.46677e-12,2.46677,1e+20,0
1782293534.911,2026-06-24 11:32:14.911,0,0,15,10.0,locate,-0.033985,-0.502978,0.049496,0.8023,0.2865,-5.1977,0.0279,0.0537,0.3269,4.67997,2.8471,2.46677e-12,2.46677,1e+20,0
1782293534.9211,2026-06-24 11:32:14.921,0,0,15,10.0,locate,-0.033975,-0.502975,0.049507,0.9054,0.304,-5.2632,0.0312,0.0553,0.3231,4.67695,2.874,2.46677e-12,2.46677,1e+20,0
1782293534.9312,2026-06-24 11:32:14.931,0,0,15,10.0,locate,-0.034002,-0.502975,0.049508,0.7487,0.404,-5.09,0.0262,0.0504,0.317,4.68425,2.809,2.46677e-12,2.46677,1e+20,0
1782293534.9414,2026-06-24 11:32:14.941,0,0,15,10.0,locate,-0.033976,-0.502983,0.049516,0.7052,-0.0545,-4.9844,0.0379,0.053,0.3202,4.6762,2.8807,2.46677e-12,2.46677,1e+20,0
1782293534.9515,2026-06-24 11:32:14.951,0,0,15,10.0,locate,-0.033969,-0.502984,0.049504,0.9227,0.5534,-5.0135,0.0227,0.0584,0.3215,4.68828,2.7732,2.46677e-12,2.46677,1e+20,0
1782293534.9616,2026-06-24 11:32:14.961,0,0,15,10.0,locate,-0.033982,-0.502982,0.049504,0.802,0.1106,-5.0185,0.0349,0.0543,0.3242,4.68022,2.8449,2.46913e-12,2.46913,1e+20,0
1782293534.9718,2026-06-24 11:32:14.971,0,0,15,10.0,locate,-0.033992,-0.502987,0.049508,0.9119,0.4481,-5.0029,0.0268,0.0568,0.3222,4.68476,2.8045,2.46913e-12,2.46913,1e+20,0
1782293534.9819,2026-06-24 11:32:14.981,0,0,15,10.0,locate,-0.033992,-0.502988,0.049508,0.946,0.1469,-5.0306,0.037,0.0548,0.3219,4.684,2.8113,2.46913e-12,2.46913,1e+20,0
1782293534.9921,2026-06-24 11:32:14.992,0,0,15,10.0,locate,-0.033997,-0.502988,0.049508,0.786,0.8788,-4.9456,0.0148,0.0528,0.3166,4.68375,2.8135,2.46913e-12,2.46913,1e+20,0
1782293535.0022,2026-06-24 11:32:15.002,0,0,15,10.0,locate,-0.033992,-0.502994,0.049501,0.4886,0.758,-4.8363,0.0172,0.0443,0.3114,4.68098,2.8381,2.46913e-12,2.46913,1e+20,0
