timestamp,datetime,point,depth_mm,phase,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,load_cell_N
1782219674.0971,2026-06-23 15:01:14.097,2,8.0,approach,-0.041411,-0.483108,0.049571,-1.5921,0.7624,-1.9538,-0.0049,-0.0567,-0.6105,4.67695,2.874
1782219682.9287,2026-06-23 15:01:22.928,2,8.0,press,-0.041459,-0.483085,0.041573,-1.1783,0.6418,0.001,-0.0041,-0.0472,-0.4787,4.24516,6.7154
1782219682.9292,2026-06-23 15:01:22.929,2,8.0,hold,-0.041455,-0.483075,0.041567,-1.1089,0.6113,-0.0427,-0.0037,-0.0469,-0.4833,4.25019,6.6706
1782219682.9393,2026-06-23 15:01:22.939,2,8.0,hold,-0.041459,-0.483061,0.041583,-1.3441,0.9026,0.019,-0.0057,-0.0517,-0.4886,4.25825,6.5989
1782219682.9494,2026-06-23 15:01:22.949,2,8.0,hold,-0.041456,-0.483083,0.041614,-1.1212,0.9252,0.1563,-0.0103,-0.0482,-0.4801,4.27638,6.4376
1782219682.9621,2026-06-23 15:01:22.962,2,8.0,hold,-0.041446,-0.483072,0.041602,-1.5336,0.9035,0.2278,-0.0103,-0.0559,-0.4821,4.26631,6.5273
1782219682.9721,2026-06-23 15:01:22.972,2,8.0,hold,-0.04145,-0.483076,0.041603,-1.5272,0.7932,0.0638,-0.0067,-0.0554,-0.4921,4.27411,6.4578
1782219682.9822,2026-06-23 15:01:22.982,2,8.0,hold,-0.041461,-0.483078,0.041608,-1.3235,0.6352,0.0048,-0.0018,-0.0526,-0.4909,4.2789,6.4152
1782219682.9922,2026-06-23 15:01:22.992,2,8.0,hold,-0.041447,-0.483071,0.041603,-1.2322,0.3679,0.2151,0.0033,-0.048,-0.4864,4.2726,6.4713
1782219683.0023,2026-06-23 15:01:23.002,2,8.0,hold,-0.04146,-0.483073,0.041608,-1.3358,0.6489,-0.0239,-0.0035,-0.0543,-0.4841,4.27764,6.4264
1782219683.0124,2026-06-23 15:01:23.012,2,8.0,hold,-0.041455,-0.483077,0.041607,-1.3376,0.964,0.1958,-0.0085,-0.0493,-0.4816,4.27713,6.4309
1782219683.0224,2026-06-23 15:01:23.022,2,8.0,hold,-0.041455,-0.48309,0.041625,-1.0032,0.5363,-0.0686,-0.0024,-0.0429,-0.4797,4.27915,6.413
1782219683.0325,2026-06-23 15:01:23.032,2,8.0,hold,-0.041464,-0.483074,0.041607,-1.5086,0.816,0.2507,-0.0069,-0.0552,-0.4835,4.27311,6.4668
1782219683.0425,2026-06-23 15:01:23.042,2,8.0,hold,-0.041482,-0.48308,0.041612,-1.3316,0.8498,0.1472,-0.0073,-0.0497,-0.4832,4.26228,6.5631
1782219683.0526,2026-06-23 15:01:23.052,2,8.0,hold,-0.041464,-0.483073,0.041603,-1.1385,0.6214,-0.0465,-0.0046,-0.0486,-0.4759,4.27814,6.422
1782219683.0627,2026-06-23 15:01:23.062,2,8.0,hold,-0.041464,-0.483074,0.041601,-1.1477,1.0322,-0.1117,-0.0134,-0.0499,-0.4816,4.27512,6.4488
1782219683.0728,2026-06-23 15:01:23.072,2,8.0,hold,-0.041459,-0.483078,0.041604,-1.2038,0.6934,0.0623,-0.0063,-0.0491,-0.4839,4.27865,6.4175
1782219683.0828,2026-06-23 15:01:23.082,2,8.0,hold,-0.041466,-0.483084,0.041608,-1.1419,0.4655,0.0181,-0.002,-0.047,-0.4815,4.27311,6.4668
1782219683.0929,2026-06-23 15:01:23.092,2,8.0,hold,-0.041459,-0.483077,0.041606,-1.3193,0.7415,0.1135,-0.0058,-0.0542,-0.4884,4.27562,6.4444
1782219683.103,2026-06-23 15:01:23.103,2,8.0,hold,-0.041442,-0.483077,0.041599,-1.2213,0.7057,0.0692,-0.0021,-0.0463,-0.4862,4.27361,6.4623
1782219683.113,2026-06-23 15:01:23.113,2,8.0,hold,-0.041467,-0.483071,0.041598,-1.1903,0.4446,-0.2968,-0.0019,-0.0491,-0.4782,4.27739,6.4287
1782219683.1231,2026-06-23 15:01:23.123,2,8.0,hold,-0.04145,-0.483058,0.041584,-1.3318,0.7625,-0.0627,-0.0016,-0.0494,-0.4902,4.2726,6.4713
1782219683.1332,2026-06-23 15:01:23.133,2,8.0,hold,-0.041465,-0.483071,0.041586,-0.8367,0.5121,0.1386,-0.0004,-0.0383,-0.4767,4.27285,6.469
1782219683.1433,2026-06-23 15:01:23.143,2,8.0,hold,-0.041442,-0.483081,0.041596,-1.3731,0.5782,0.0503,-0.002,-0.0516,-0.4829,4.27462,6.4533
1782219683.1533,2026-06-23 15:01:23.153,2,8.0,hold,-0.041454,-0.48308,0.041597,-1.4414,0.7636,0.0547,-0.0083,-0.0534,-0.4856,4.27386,6.46
1782219683.1634,2026-06-23 15:01:23.163,2,8.0,hold,-0.041456,-0.483061,0.041571,-1.4876,0.46,0.1159,0.0044,-0.0534,-0.4822,4.26933,6.5004
1782219683.1734,2026-06-23 15:01:23.173,2,8.0,hold,-0.041464,-0.483073,0.041586,-1.3895,0.842,0.1237,-0.004,-0.0533,-0.4903,4.26379,6.5497
1782219683.1834,2026-06-23 15:01:23.183,2,8.0,hold,-0.041458,-0.483074,0.041582,-1.162,0.7375,0.1135,-0.0053,-0.0472,-0.483,4.26832,6.5093
1782219683.1935,2026-06-23 15:01:23.193,2,8.0,hold,-0.041457,-0.483067,0.041561,-1.3026,0.7287,0.1812,-0.003,-0.0505,-0.4827,4.27285,6.469
