timestamp,datetime,round_idx,sample_idx,point,depth_mm,phase,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,load_cell_N,Cp_F,Cp_pF,Rp_Ohm,lcr_ok
1782482432.6864,2026-06-26 16:00:32.686,0,0,3,7.0,locate,-0.031494,-0.481078,0.050053,2.3881,-0.3656,-10.6544,0.0566,0.1064,0.143,4.69684,2.697,2.56556e-12,2.5655599999999996,1e+20,0
1782482432.6866,2026-06-26 16:00:32.686,0,0,3,7.0,locate,-0.031494,-0.481078,0.050053,2.3881,-0.3656,-10.6544,0.0566,0.1064,0.143,4.69684,2.697,2.56556e-12,2.5655599999999996,1e+20,0
1782482432.6968,2026-06-26 16:00:32.696,0,0,3,7.0,locate,-0.031493,-0.481085,0.050081,2.5733,-0.4888,-10.5197,0.0599,0.1086,0.1537,4.69634,2.7015,2.56556e-12,2.5655599999999996,1e+20,0
1782482432.7069,2026-06-26 16:00:32.706,0,0,3,7.0,locate,-0.031479,-0.481091,0.050066,2.4938,-0.3286,-10.6409,0.0536,0.1098,0.1411,4.6908,2.7508,2.56556e-12,2.5655599999999996,1e+20,0
1782482432.717,2026-06-26 16:00:32.717,0,0,3,7.0,locate,-0.031484,-0.481086,0.050076,2.4071,-0.5039,-10.6123,0.0554,0.1049,0.14,4.69583,2.706,2.56256e-12,2.56256,1e+20,0
1782482432.7272,2026-06-26 16:00:32.727,0,0,3,7.0,locate,-0.031499,-0.481092,0.050091,2.4876,-0.0075,-10.66,0.0477,0.1113,0.1442,4.68123,2.8359,2.56256e-12,2.56256,1e+20,0
1782482432.7373,2026-06-26 16:00:32.737,0,0,3,7.0,locate,-0.03147,-0.481096,0.050095,2.5691,-0.373,-10.6154,0.0535,0.1093,0.1401,4.68879,2.7687,2.56256e-12,2.56256,1e+20,0
1782482432.7474,2026-06-26 16:00:32.747,0,0,3,7.0,locate,-0.031487,-0.481082,0.050067,2.3926,-0.3564,-10.6124,0.0556,0.1053,0.1385,4.68602,2.7933,2.56256e-12,2.56256,1e+20,0
1782482432.7575,2026-06-26 16:00:32.757,0,0,3,7.0,locate,-0.031475,-0.481088,0.050086,2.4346,-0.6046,-10.4861,0.0601,0.1048,0.1412,4.68576,2.7956,2.56256e-12,2.56256,1e+20,0
1782482432.7676,2026-06-26 16:00:32.767,0,0,3,7.0,locate,-0.031484,-0.481096,0.050085,2.3176,-0.1007,-10.5007,0.0504,0.1044,0.1289,4.68803,2.7754,2.56256e-12,2.56256,1e+20,0
1782482432.7778,2026-06-26 16:00:32.777,0,0,3,7.0,locate,-0.031481,-0.481087,0.05007,2.7207,-0.2616,-10.5691,0.0537,0.1158,0.135,4.69055,2.753,2.56367e-12,2.56367,1e+20,0
1782482432.7879,2026-06-26 16:00:32.787,0,0,3,7.0,locate,-0.031479,-0.481098,0.050091,2.6369,-0.4706,-10.6958,0.0608,0.1137,0.1312,4.69256,2.7351,2.56367e-12,2.56367,1e+20,0
1782482432.7981,2026-06-26 16:00:32.798,0,0,3,7.0,locate,-0.03147,-0.481092,0.05008,2.5358,-0.4362,-10.7571,0.0567,0.1074,0.1276,4.69684,2.697,2.56367e-12,2.56367,1e+20,0
1782482432.8082,2026-06-26 16:00:32.808,0,0,3,7.0,locate,-0.031469,-0.481101,0.050085,2.7293,-0.3146,-10.7291,0.0551,0.115,0.1264,4.69181,2.7418,2.56367e-12,2.56367,1e+20,0
1782482432.8183,2026-06-26 16:00:32.818,0,0,3,7.0,locate,-0.031486,-0.481095,0.050083,2.7404,-0.5216,-10.4633,0.0565,0.1128,0.1316,4.69382,2.7239,2.56367e-12,2.56367,1e+20,0
