timestamp,datetime,round_idx,sample_idx,point,depth_mm,phase,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,load_cell_N,Cp_F,Cp_pF,Rp_Ohm,lcr_ok
1782383446.0161,2026-06-25 12:30:46.016,0,0,10,6.0,locate,-0.037977,-0.49673,0.050086,0.0443,3.434,-27.2279,0.0583,0.0935,-0.2644,4.69306,2.7306,2.49319e-12,2.49319,1e+20,0
1782383446.0163,2026-06-25 12:30:46.016,0,0,10,6.0,locate,-0.037977,-0.49673,0.050086,0.0443,3.434,-27.2279,0.0583,0.0935,-0.2644,4.69306,2.7306,2.49319e-12,2.49319,1e+20,0
1782383446.0264,2026-06-25 12:30:46.026,0,0,10,6.0,locate,-0.037979,-0.49672,0.050108,-0.2995,3.8564,-26.7674,0.0457,0.083,-0.2716,4.68576,2.7956,2.49319e-12,2.49319,1e+20,0
1782383446.0365,2026-06-25 12:30:46.036,0,0,10,6.0,locate,-0.037988,-0.496732,0.050118,-0.3237,3.5612,-26.8823,0.0541,0.0825,-0.2715,4.6835,2.8157,2.49319e-12,2.49319,1e+20,0
1782383446.0466,2026-06-25 12:30:46.046,0,0,10,6.0,locate,-0.03799,-0.496732,0.050118,-0.2569,3.6453,-26.8865,0.0531,0.0877,-0.2664,4.68828,2.7732,2.49319e-12,2.49319,1e+20,0
1782383446.0567,2026-06-25 12:30:46.056,0,0,10,6.0,locate,-0.037983,-0.496708,0.050092,-0.3662,3.8722,-26.9274,0.0493,0.083,-0.2653,4.68803,2.7754,2.49319e-12,2.49319,1e+20,0
1782383446.0669,2026-06-25 12:30:46.066,0,0,10,6.0,locate,-0.037952,-0.496705,0.050089,-0.5029,3.8963,-26.8888,0.0454,0.0811,-0.265,4.68199,2.8292,2.49319e-12,2.49319,1e+20,0
1782383446.077,2026-06-25 12:30:46.076,0,0,10,6.0,locate,-0.037983,-0.496714,0.050103,-0.2929,3.8553,-26.8361,0.043,0.0871,-0.2591,4.68828,2.7732,2.50094e-12,2.50094,1e+20,0
1782383446.0871,2026-06-25 12:30:46.087,0,0,10,6.0,locate,-0.037981,-0.496694,0.050097,-0.0783,3.5811,-26.9569,0.0527,0.0933,-0.266,4.68576,2.7956,2.50094e-12,2.50094,1e+20,0
1782383446.0973,2026-06-25 12:30:46.097,0,0,10,6.0,locate,-0.037977,-0.49669,0.050091,-0.4145,3.6962,-26.8994,0.0504,0.0826,-0.2657,4.69558,2.7082,2.50094e-12,2.50094,1e+20,0
1782383446.1074,2026-06-25 12:30:46.107,0,0,10,6.0,locate,-0.037969,-0.496696,0.050093,-0.3909,3.8039,-26.918,0.0508,0.0795,-0.2647,4.68602,2.7933,2.50094e-12,2.50094,1e+20,0
1782383446.1175,2026-06-25 12:30:46.117,0,0,10,6.0,locate,-0.037958,-0.496679,0.050083,-0.0991,3.4168,-27.0202,0.056,0.0921,-0.2618,4.69709,2.6948,2.50094e-12,2.50094,1e+20,0
1782383446.1277,2026-06-25 12:30:46.127,0,0,10,6.0,locate,-0.037973,-0.49667,0.050076,-0.1875,3.5355,-26.944,0.0583,0.0878,-0.2663,4.68425,2.809,2.50094e-12,2.50094,1e+20,0
1782383446.1378,2026-06-25 12:30:46.137,0,0,10,6.0,locate,-0.037971,-0.496667,0.050084,-0.1525,3.6141,-26.9836,0.0556,0.0916,-0.2692,4.68098,2.8381,2.50201e-12,2.5020100000000003,1e+20,0
1782383446.1479,2026-06-25 12:30:46.147,0,0,10,6.0,locate,-0.03798,-0.496665,0.050071,-0.0138,3.3016,-27.1817,0.0634,0.0923,-0.2617,4.69458,2.7172,2.50201e-12,2.5020100000000003,1e+20,0
