timestamp,datetime,round_idx,sample_idx,point,depth_mm,phase,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,load_cell_N,Cp_F,Cp_pF,Rp_Ohm,lcr_ok
1784289836.7935,2026-07-17 14:03:56.793,0,0,12,8.0,locate,-0.021332,-0.494538,0.050105,1.1514,1.4156,-6.5544,-0.0488,-0.0122,0.164,4.69407,2.7217,1.43394e-12,1.43394,18561100.0,0
1784289836.7937,2026-07-17 14:03:56.793,0,0,12,8.0,locate,-0.021332,-0.494538,0.050105,1.1514,1.4156,-6.5544,-0.0488,-0.0122,0.164,4.69407,2.7217,1.43394e-12,1.43394,18561100.0,0
1784289836.8038,2026-07-17 14:03:56.803,0,0,12,8.0,locate,-0.021317,-0.494539,0.050114,1.0566,0.9556,-6.4852,-0.033,-0.0113,0.1529,4.69458,2.7172,1.43394e-12,1.43394,18561100.0,0
1784289836.814,2026-07-17 14:03:56.813,0,0,12,8.0,locate,-0.02133,-0.494541,0.050118,0.8923,0.979,-6.412,-0.0391,-0.0206,0.1508,4.6976,2.6903,2.48675e-12,2.4867500000000002,9463100.0,0
1784289836.8241,2026-07-17 14:03:56.824,0,0,12,8.0,locate,-0.021349,-0.494535,0.050119,1.1855,0.7665,-6.5175,-0.0317,-0.0063,0.1451,4.6986,2.6813,2.48675e-12,2.4867500000000002,9463100.0,0
1784289836.8343,2026-07-17 14:03:56.834,0,0,12,8.0,locate,-0.021333,-0.494547,0.050115,1.2615,1.3453,-6.5637,-0.0447,-0.0078,0.1418,4.69986,2.6701,2.48675e-12,2.4867500000000002,9463100.0,0
1784289836.8443,2026-07-17 14:03:56.844,0,0,12,8.0,locate,-0.021313,-0.494533,0.050102,1.0643,1.1735,-6.549,-0.042,-0.009,0.144,4.69231,2.7373,2.48675e-12,2.4867500000000002,9463100.0,0
1784289836.8544,2026-07-17 14:03:56.854,0,0,12,8.0,locate,-0.021339,-0.494535,0.050107,1.449,1.43,-6.493,-0.05,-0.0019,0.147,4.69583,2.706,2.48675e-12,2.4867500000000002,9463100.0,0
1784289836.8645,2026-07-17 14:03:56.864,0,0,12,8.0,locate,-0.021319,-0.494537,0.050125,0.9805,1.267,-6.4491,-0.048,-0.0127,0.1387,4.68904,2.7665,2.48675e-12,2.4867500000000002,9463100.0,0
1784289836.8746,2026-07-17 14:03:56.874,0,0,12,8.0,locate,-0.021317,-0.494534,0.05011,1.2745,1.1906,-6.5378,-0.0436,-0.0063,0.1502,4.69004,2.7575,1.75934e-12,1.7593400000000001,10949100.0,0
1784289836.8848,2026-07-17 14:03:56.884,0,0,12,8.0,locate,-0.021315,-0.494533,0.050109,0.9615,1.366,-6.493,-0.0486,-0.0165,0.1372,4.69583,2.706,1.75934e-12,1.7593400000000001,10949100.0,0
1784289836.8949,2026-07-17 14:03:56.894,0,0,12,8.0,locate,-0.021333,-0.494536,0.050115,1.0058,0.9908,-6.4876,-0.0399,-0.0115,0.15,4.69961,2.6724,1.75934e-12,1.7593400000000001,10949100.0,0
1784289836.905,2026-07-17 14:03:56.905,0,0,12,8.0,locate,-0.021331,-0.494529,0.05011,0.9841,1.2858,-6.6558,-0.0421,-0.0129,0.1422,4.69558,2.7082,1.75934e-12,1.7593400000000001,10949100.0,0
1784289836.9152,2026-07-17 14:03:56.915,0,0,12,8.0,locate,-0.021297,-0.494532,0.050101,1.0686,1.1342,-6.5469,-0.0413,-0.011,0.1384,4.69961,2.6724,1.75934e-12,1.7593400000000001,10949100.0,0
1784289836.9253,2026-07-17 14:03:56.925,0,0,12,8.0,locate,-0.021319,-0.494536,0.050115,1.0439,0.8808,-6.4785,-0.0355,-0.0083,0.1438,4.69835,2.6836,1.75934e-12,1.7593400000000001,10949100.0,0
1784289836.9354,2026-07-17 14:03:56.935,0,0,12,8.0,locate,-0.021321,-0.494524,0.050114,0.9734,1.2781,-6.4923,-0.0456,-0.0126,0.135,4.6981,2.6858,1.64068e-12,1.6406800000000001,11701000.0,0
1784289836.9454,2026-07-17 14:03:56.945,0,0,12,8.0,locate,-0.02133,-0.494512,0.050085,1.2076,1.4233,-6.7761,-0.0501,-0.0047,0.1306,4.69709,2.6948,1.64068e-12,1.6406800000000001,11701000.0,0
1784289836.9555,2026-07-17 14:03:56.955,0,0,12,8.0,locate,-0.021321,-0.494518,0.0501,1.1919,1.2213,-6.7514,-0.0448,-0.0067,0.1379,4.69306,2.7306,1.64068e-12,1.6406800000000001,11701000.0,0
1784289836.9656,2026-07-17 14:03:56.965,0,0,12,8.0,locate,-0.02131,-0.494503,0.050085,1.1721,0.9168,-6.5216,-0.0318,-0.0067,0.1335,4.68954,2.762,1.64068e-12,1.6406800000000001,11701000.0,0
1784289836.9756,2026-07-17 14:03:56.975,0,0,12,8.0,locate,-0.021292,-0.494491,0.050079,1.0072,1.3456,-6.5285,-0.047,-0.0126,0.1256,4.69533,2.7105,1.64068e-12,1.6406800000000001,11701000.0,0
1784289836.9857,2026-07-17 14:03:56.985,0,0,12,8.0,locate,-0.021298,-0.494483,0.050059,1.0219,0.9551,-6.4661,-0.0369,-0.0095,0.1316,4.69382,2.7239,1.64068e-12,1.6406800000000001,11701000.0,0
1784289836.9958,2026-07-17 14:03:56.995,0,0,12,8.0,locate,-0.021295,-0.494483,0.050063,1.1206,1.3526,-6.4463,-0.0465,-0.0083,0.1283,4.70062,2.6634,1.64068e-12,1.6406800000000001,11701000.0,0
1784289837.0059,2026-07-17 14:03:57.005,0,0,12,8.0,locate,-0.021274,-0.494478,0.050054,1.2949,1.1493,-6.5222,-0.0405,-0.0051,0.1288,4.69986,2.6701,1.64068e-12,1.6406800000000001,11701000.0,0
1784289837.0161,2026-07-17 14:03:57.016,0,0,12,8.0,locate,-0.02127,-0.494465,0.050046,0.9885,1.2455,-6.5153,-0.0447,-0.0161,0.1222,4.70213,2.65,1.80966e-12,1.80966,10035500.0,0
1784289837.0263,2026-07-17 14:03:57.026,0,0,12,8.0,locate,-0.021268,-0.494461,0.050043,1.0479,1.1847,-6.586,-0.0423,-0.0095,0.1297,4.69382,2.7239,1.80966e-12,1.80966,10035500.0,0
1784289837.0363,2026-07-17 14:03:57.036,0,0,12,8.0,locate,-0.021249,-0.494461,0.050045,1.461,0.9691,-6.4321,-0.0351,-0.0004,0.1253,4.69407,2.7217,1.80966e-12,1.80966,10035500.0,0
1784289837.0464,2026-07-17 14:03:57.046,0,0,12,8.0,locate,-0.021265,-0.494457,0.050035,0.9891,1.2321,-6.4934,-0.0435,-0.0111,0.1215,4.68929,2.7642,1.80966e-12,1.80966,10035500.0,0
1784289837.0566,2026-07-17 14:03:57.056,0,0,12,8.0,locate,-0.021251,-0.494461,0.050044,1.0801,0.9225,-6.7042,-0.0336,-0.0067,0.1198,4.69256,2.7351,1.80966e-12,1.80966,10035500.0,0
1784289837.0667,2026-07-17 14:03:57.066,0,0,12,8.0,locate,-0.021268,-0.49446,0.050034,1.0746,1.3502,-6.626,-0.0469,-0.0094,0.1119,4.69634,2.7015,1.80966e-12,1.80966,10035500.0,0
1784289837.0768,2026-07-17 14:03:57.076,0,0,12,8.0,locate,-0.021276,-0.49447,0.050054,1.1369,1.4214,-6.6376,-0.0493,-0.0051,0.1246,4.69961,2.6724,1.80966e-12,1.80966,10035500.0,0
1784289837.087,2026-07-17 14:03:57.086,0,0,12,8.0,locate,-0.021236,-0.494462,0.050037,1.0027,0.9235,-6.7281,-0.0341,-0.0092,0.1233,4.69684,2.697,1.35396e-12,1.35396,25525700.0,0
1784289837.0971,2026-07-17 14:03:57.097,0,0,12,8.0,locate,-0.021266,-0.494462,0.050044,1.5216,1.5421,-6.4227,-0.0507,0.0,0.1182,4.69684,2.697,1.35396e-12,1.35396,25525700.0,0
1784289837.1072,2026-07-17 14:03:57.107,0,0,12,8.0,locate,-0.021256,-0.494459,0.050035,1.2235,1.1849,-6.3966,-0.039,-0.006,0.1251,4.69785,2.6881,1.35396e-12,1.35396,25525700.0,0
1784289837.1173,2026-07-17 14:03:57.117,0,0,12,8.0,locate,-0.021275,-0.494462,0.050045,1.2728,1.4812,-6.4587,-0.049,-0.0045,0.1118,4.69835,2.6836,1.35396e-12,1.35396,25525700.0,0
1784289837.1274,2026-07-17 14:03:57.127,0,0,12,8.0,locate,-0.02127,-0.494458,0.050042,1.1684,1.2928,-6.5643,-0.0436,-0.0095,0.1212,4.69911,2.6769,1.35396e-12,1.35396,25525700.0,0
1784289837.1376,2026-07-17 14:03:57.137,0,0,12,8.0,locate,-0.021262,-0.494461,0.050045,1.0337,0.9014,-6.4775,-0.0351,-0.0072,0.1222,4.69785,2.6881,1.35396e-12,1.35396,25525700.0,0
1784289837.1477,2026-07-17 14:03:57.147,0,0,12,8.0,locate,-0.021251,-0.494466,0.050039,1.2833,0.8016,-6.6543,-0.034,-0.0026,0.1151,4.70112,2.6589,1.5692e-12,1.5692,13022300.0,0
1784289837.1578,2026-07-17 14:03:57.157,0,0,12,8.0,locate,-0.021267,-0.49447,0.050048,1.0864,1.1575,-6.4734,-0.0414,-0.0079,0.1192,4.69986,2.6701,1.5692e-12,1.5692,13022300.0,0
1784289837.168,2026-07-17 14:03:57.168,0,0,12,8.0,locate,-0.02126,-0.494463,0.050038,1.319,1.5166,-6.483,-0.0499,-0.0027,0.113,4.68853,2.7709,1.5692e-12,1.5692,13022300.0,0
1784289837.1781,2026-07-17 14:03:57.178,0,0,12,8.0,locate,-0.021275,-0.494462,0.050046,1.3824,1.3631,-6.5103,-0.0478,0.0013,0.1141,4.70011,2.6679,1.5692e-12,1.5692,13022300.0,0
1784289837.1883,2026-07-17 14:03:57.188,0,0,12,8.0,locate,-0.021255,-0.494457,0.050035,1.1066,1.4604,-6.5521,-0.0491,-0.0101,0.1141,4.69004,2.7575,1.5692e-12,1.5692,13022300.0,0
1784289837.1983,2026-07-17 14:03:57.198,0,0,12,8.0,locate,-0.021271,-0.494456,0.050041,1.1398,1.1745,-6.47,-0.0405,-0.0066,0.1146,4.69181,2.7418,1.5692e-12,1.5692,13022300.0,0
1784289837.2084,2026-07-17 14:03:57.208,0,0,12,8.0,locate,-0.021255,-0.49445,0.050037,1.2577,0.6127,-6.5905,-0.0263,-0.0023,0.118,4.69735,2.6925,1.5692e-12,1.5692,13022300.0,0
1784289837.2186,2026-07-17 14:03:57.218,0,0,12,8.0,locate,-0.02127,-0.494466,0.050034,1.0935,1.0261,-6.5189,-0.0396,-0.0078,0.1155,4.69181,2.7418,1.5692e-12,1.5692,13022300.0,0
1784289837.2287,2026-07-17 14:03:57.228,0,0,12,8.0,locate,-0.021275,-0.494471,0.050051,1.3238,1.2425,-6.4415,-0.0429,-0.003,0.1117,4.68602,2.7933,1.5541e-12,1.5541,13165700.0,0
1784289837.2388,2026-07-17 14:03:57.238,0,0,12,8.0,locate,-0.021259,-0.494446,0.05003,1.07,1.0756,-6.4938,-0.0386,-0.0126,0.1182,4.69508,2.7127,1.5541e-12,1.5541,13165700.0,0
1784289837.249,2026-07-17 14:03:57.248,0,0,12,8.0,locate,-0.021268,-0.494461,0.050044,1.225,1.2892,-6.6193,-0.0461,-0.0049,0.1122,4.69306,2.7306,1.5541e-12,1.5541,13165700.0,0
1784289837.2591,2026-07-17 14:03:57.259,0,0,12,8.0,locate,-0.021266,-0.494462,0.050044,1.1137,1.1637,-6.6847,-0.0452,-0.0048,0.106,4.69735,2.6925,1.5541e-12,1.5541,13165700.0,0
1784289837.2693,2026-07-17 14:03:57.269,0,0,12,8.0,locate,-0.021273,-0.494455,0.05004,1.3721,1.041,-6.4916,-0.0419,0.0029,0.11,4.70188,2.6522,1.5541e-12,1.5541,13165700.0,0
1784289837.2794,2026-07-17 14:03:57.279,0,0,12,8.0,locate,-0.021264,-0.494467,0.050049,1.4483,1.3832,-6.4658,-0.0478,0.0001,0.1128,4.69306,2.7306,1.34562e-12,1.34562,51805000.0,0
1784289837.2895,2026-07-17 14:03:57.289,0,0,12,8.0,locate,-0.021255,-0.494456,0.050042,1.1342,1.4757,-6.5668,-0.0506,-0.007,0.1088,4.70465,2.6276,1.34562e-12,1.34562,51805000.0,0
