timestamp,datetime,round_idx,sample_idx,point,depth_mm,phase,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,load_cell_N
1784299376.1083,2026-07-17 16:42:56.108,0,0,1,8.0,locate,-0.049115,-0.484174,0.050041,6.209,5.0725,-28.395,0.0216,0.0445,-0.7425,4.70062,2.6634
1784299376.1085,2026-07-17 16:42:56.108,0,0,1,8.0,locate,-0.049115,-0.484174,0.050041,6.209,5.0725,-28.395,0.0216,0.0445,-0.7425,4.70062,2.6634
1784299376.1186,2026-07-17 16:42:56.118,0,0,1,8.0,locate,-0.049114,-0.4842,0.050072,6.0311,4.8352,-28.1927,0.0259,0.0411,-0.7388,4.70364,2.6365
1784299376.1287,2026-07-17 16:42:56.128,0,0,1,8.0,locate,-0.049131,-0.484218,0.050102,6.1458,4.6486,-28.1606,0.0315,0.0434,-0.7307,4.70188,2.6522
1784299376.1389,2026-07-17 16:42:56.138,0,0,1,8.0,locate,-0.049129,-0.484217,0.050095,5.9003,4.6439,-28.2139,0.0294,0.0374,-0.7359,4.7054,2.6209
1784299376.149,2026-07-17 16:42:56.149,0,0,1,8.0,locate,-0.04912,-0.484198,0.050078,5.8044,4.8998,-28.4449,0.0248,0.0322,-0.737,4.69634,2.7015
1784299376.1591,2026-07-17 16:42:56.159,0,0,1,8.0,locate,-0.049116,-0.484203,0.050079,6.2087,5.2007,-28.3777,0.0206,0.0445,-0.7353,4.69583,2.706
1784299376.1693,2026-07-17 16:42:56.169,0,0,1,8.0,locate,-0.049105,-0.4842,0.050076,6.0089,4.59,-28.3452,0.0329,0.0407,-0.7228,4.69936,2.6746
1784299376.1794,2026-07-17 16:42:56.179,0,0,1,8.0,locate,-0.049116,-0.484197,0.050077,5.9338,4.8311,-28.4178,0.026,0.0358,-0.7321,4.70011,2.6679
1784299376.1895,2026-07-17 16:42:56.189,0,0,1,8.0,locate,-0.049128,-0.484211,0.050086,5.7833,4.9003,-28.5383,0.0266,0.0333,-0.7343,4.69357,2.7261
1784299376.1997,2026-07-17 16:42:56.199,0,0,1,8.0,locate,-0.049121,-0.48421,0.050084,6.22,5.2721,-28.2656,0.0132,0.0455,-0.7336,4.69332,2.7284
1784299376.2098,2026-07-17 16:42:56.209,0,0,1,8.0,locate,-0.049124,-0.484219,0.050083,6.1618,4.8933,-28.3087,0.0272,0.0418,-0.7255,4.70288,2.6433
1784299376.2199,2026-07-17 16:42:56.219,0,0,1,8.0,locate,-0.049132,-0.484218,0.050088,5.9882,5.0262,-28.2118,0.0213,0.0381,-0.7283,4.70011,2.6679
1784299376.2301,2026-07-17 16:42:56.230,0,0,1,8.0,locate,-0.049122,-0.484226,0.050101,6.0362,5.0277,-28.2348,0.025,0.0389,-0.7255,4.69206,2.7396
1784299376.2402,2026-07-17 16:42:56.240,0,0,1,8.0,locate,-0.049117,-0.484203,0.050081,6.3166,4.8607,-28.3396,0.0228,0.048,-0.7272,4.70213,2.65
1784299376.2503,2026-07-17 16:42:56.250,0,0,1,8.0,locate,-0.049125,-0.484209,0.050087,6.0509,4.7199,-28.3437,0.0308,0.0397,-0.7238,4.69407,2.7217
1784299376.2604,2026-07-17 16:42:56.260,0,0,1,8.0,locate,-0.049113,-0.484212,0.050087,6.1569,4.9046,-28.4004,0.022,0.0403,-0.7244,4.70389,2.6343
1784299376.2706,2026-07-17 16:42:56.270,0,0,1,8.0,locate,-0.049125,-0.484214,0.050096,6.0513,4.7357,-28.2799,0.0272,0.0393,-0.7242,4.7054,2.6209
1784299376.2806,2026-07-17 16:42:56.280,0,0,1,8.0,locate,-0.04913,-0.484206,0.05009,5.8433,4.9207,-28.183,0.0261,0.0342,-0.7201,4.70137,2.6567
