timestamp,datetime,point_idx,point,depth_mm,iter_idx,phase,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,load_cell_N,Cp_F,Cp_pF,Rp_Ohm,lcr_ok
1784541797.6311,2026-07-20 12:03:17.631,0,8,0.0,0,locate,-0.054676,-0.500269,0.049769,-8.1002,9.2599,-14.5502,-0.1227,-0.1569,-0.5068,4.67166,2.921,2.116e-12,2.1159999999999997,1e+20,0
1784541797.6312,2026-07-20 12:03:17.631,0,8,0.0,0,locate,-0.054676,-0.500269,0.049769,-8.1002,9.2599,-14.5502,-0.1227,-0.1569,-0.5068,4.67166,2.921,2.116e-12,2.1159999999999997,1e+20,0
1784541797.6413,2026-07-20 12:03:17.641,0,8,0.0,0,locate,-0.054669,-0.500276,0.049792,-7.7792,9.2697,-14.2902,-0.1237,-0.1522,-0.5019,4.6699,2.9367,2.116e-12,2.1159999999999997,1e+20,0
1784541797.6514,2026-07-20 12:03:17.651,0,8,0.0,0,locate,-0.054672,-0.500281,0.049805,-8.3528,9.3639,-14.1477,-0.1263,-0.1626,-0.5081,4.66864,2.9479,2.116e-12,2.1159999999999997,1e+20,0
1784541797.6615,2026-07-20 12:03:17.661,0,8,0.0,0,locate,-0.054668,-0.500273,0.049799,-7.8885,9.2344,-14.3339,-0.122,-0.1506,-0.5023,4.66915,2.9434,2.116e-12,2.1159999999999997,1e+20,0
1784541797.6716,2026-07-20 12:03:17.671,0,8,0.0,0,locate,-0.054658,-0.500286,0.049794,-8.1752,9.1588,-14.3045,-0.1218,-0.1569,-0.5064,4.67041,2.9322,2.116e-12,2.1159999999999997,1e+20,0
1784541797.6817,2026-07-20 12:03:17.681,0,8,0.0,0,locate,-0.054685,-0.500288,0.049811,-8.2793,9.5019,-14.3288,-0.1271,-0.1589,-0.511,4.67141,2.9233,2.116e-12,2.1159999999999997,1e+20,0
1784541797.6919,2026-07-20 12:03:17.691,0,8,0.0,0,locate,-0.054664,-0.500275,0.049792,-8.2236,9.3538,-14.1753,-0.1229,-0.1593,-0.51,4.67544,2.8874,2.116e-12,2.1159999999999997,1e+20,0
1784541797.702,2026-07-20 12:03:17.702,0,8,0.0,0,locate,-0.054675,-0.500281,0.049797,-7.7465,9.2396,-14.4748,-0.1248,-0.1482,-0.5097,4.67317,2.9076,2.116e-12,2.1159999999999997,1e+20,0
1784541797.7121,2026-07-20 12:03:17.712,0,8,0.0,0,locate,-0.054656,-0.5003,0.049815,-8.0685,9.3447,-14.5216,-0.1244,-0.1538,-0.5176,4.67015,2.9345,2.118e-12,2.118,1e+20,0
