timestamp,datetime,point_idx,point,depth_mm,iter_idx,phase,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,load_cell_N,Cp_F,Cp_pF,Rp_Ohm,lcr_ok
1785947421.899,2026-08-05 18:30:21.899,0,10,0.0,0,locate,-0.038315,-0.49798,0.04974,-0.3591,0.5895,-0.7294,-0.0159,-0.0155,-0.4083,4.69382,2.7239,2.48713e-12,2.48713,1e+20,0
1785947421.8991,2026-08-05 18:30:21.899,0,10,0.0,0,locate,-0.038315,-0.49798,0.04974,-0.3591,0.5895,-0.7294,-0.0159,-0.0155,-0.4083,4.69382,2.7239,2.48713e-12,2.48713,1e+20,0
1785947421.9091,2026-08-05 18:30:21.909,0,10,0.0,0,locate,-0.038313,-0.497987,0.049751,-0.5475,1.0267,-0.9291,-0.0258,-0.0241,-0.4122,4.6845,2.8068,2.48678e-12,2.48678,1e+20,0
1785947421.9192,2026-08-05 18:30:21.919,0,10,0.0,0,locate,-0.038324,-0.497993,0.049769,-0.0239,1.0606,-0.5794,-0.0282,-0.0101,-0.4006,4.6913,2.7463,2.48678e-12,2.48678,1e+20,0
1785947421.9293,2026-08-05 18:30:21.929,0,10,0.0,0,locate,-0.038316,-0.497983,0.049771,-0.621,0.6625,-0.5898,-0.0183,-0.0231,-0.4167,4.6903,2.7553,2.48678e-12,2.48678,1e+20,0
1785947421.9394,2026-08-05 18:30:21.939,0,10,0.0,0,locate,-0.038307,-0.497961,0.049744,-0.2912,1.3052,-0.5858,-0.033,-0.0152,-0.4125,4.69181,2.7418,2.48678e-12,2.48678,1e+20,0
1785947421.9495,2026-08-05 18:30:21.949,0,10,0.0,0,locate,-0.038297,-0.497969,0.049755,-0.3562,0.9423,-0.6729,-0.0262,-0.0148,-0.4038,4.68879,2.7687,2.48678e-12,2.48678,1e+20,0
1785947421.9596,2026-08-05 18:30:21.959,0,10,0.0,0,locate,-0.038319,-0.497958,0.049757,0.2066,0.3958,-0.6479,-0.0148,-0.0023,-0.399,4.69382,2.7239,2.48678e-12,2.48678,1e+20,0
1785947421.9697,2026-08-05 18:30:21.969,0,10,0.0,0,locate,-0.038313,-0.497934,0.049731,-0.1418,0.6986,-0.5988,-0.0188,-0.0095,-0.3978,4.69105,2.7485,2.48678e-12,2.48678,1e+20,0
1785947421.9797,2026-08-05 18:30:21.979,0,10,0.0,0,locate,-0.038304,-0.497931,0.04973,0.0181,0.417,-0.7134,-0.0122,-0.0054,-0.4105,4.68174,2.8314,2.48371e-12,2.4837100000000003,1e+20,0
1785947421.9898,2026-08-05 18:30:21.989,0,10,0.0,0,locate,-0.038293,-0.497929,0.049727,0.1115,0.6811,-0.6235,-0.0225,-0.006,-0.4004,4.68375,2.8135,2.48371e-12,2.4837100000000003,1e+20,0
1785947421.9999,2026-08-05 18:30:21.999,0,10,0.0,0,locate,-0.038277,-0.497916,0.049731,0.0765,0.3905,-0.7844,-0.013,-0.0024,-0.403,4.68551,2.7978,2.48371e-12,2.4837100000000003,1e+20,0
1785947422.0099,2026-08-05 18:30:22.009,0,10,0.0,0,locate,-0.038277,-0.497918,0.049724,-0.4664,0.751,-0.7428,-0.0168,-0.0245,-0.4026,4.6835,2.8157,2.48371e-12,2.4837100000000003,1e+20,0
1785947422.02,2026-08-05 18:30:22.019,0,10,0.0,0,locate,-0.038287,-0.497913,0.049723,-0.251,1.292,-0.7966,-0.0331,-0.0147,-0.407,4.68375,2.8135,2.48371e-12,2.4837100000000003,1e+20,0
1785947422.0301,2026-08-05 18:30:22.030,0,10,0.0,0,locate,-0.038283,-0.49791,0.049722,0.2152,0.4248,-0.7519,-0.0129,-0.0002,-0.4037,4.68727,2.7821,2.48371e-12,2.4837100000000003,1e+20,0
1785947422.0402,2026-08-05 18:30:22.040,0,10,0.0,0,locate,-0.038288,-0.497915,0.049719,-0.2351,0.9035,-0.6818,-0.0241,-0.0132,-0.3972,4.6845,2.8068,2.48137e-12,2.48137,1e+20,0
1785947422.0503,2026-08-05 18:30:22.050,0,10,0.0,0,locate,-0.038277,-0.497918,0.049728,0.0793,0.5645,-0.8567,-0.0162,-0.0059,-0.4044,4.68702,2.7844,2.48137e-12,2.48137,1e+20,0
1785947422.0603,2026-08-05 18:30:22.060,0,10,0.0,0,locate,-0.038274,-0.497914,0.04973,0.3773,0.7415,-0.6911,-0.0243,-0.0013,-0.4008,4.68425,2.809,2.48137e-12,2.48137,1e+20,0
1785947422.0704,2026-08-05 18:30:22.070,0,10,0.0,0,locate,-0.038275,-0.497907,0.049714,-0.2596,0.7396,-0.7959,-0.0221,-0.0149,-0.4048,4.69382,2.7239,2.48137e-12,2.48137,1e+20,0
1785947422.0805,2026-08-05 18:30:22.080,0,10,0.0,0,locate,-0.038287,-0.497907,0.049719,-0.2223,0.4914,-0.6111,-0.0152,-0.0143,-0.3977,4.69382,2.7239,2.48137e-12,2.48137,1e+20,0
1785947422.0906,2026-08-05 18:30:22.090,0,10,0.0,0,locate,-0.038294,-0.49791,0.049724,-0.3245,0.3698,-0.7571,-0.0132,-0.0158,-0.4016,4.68803,2.7754,2.48137e-12,2.48137,1e+20,0
1785947422.1007,2026-08-05 18:30:22.100,0,10,0.0,0,locate,-0.038278,-0.497916,0.049727,-0.1896,0.5466,-0.5895,-0.0161,-0.0134,-0.4087,4.69231,2.7373,2.48584e-12,2.48584,1e+20,0
1785947422.1107,2026-08-05 18:30:22.110,0,10,0.0,0,locate,-0.038289,-0.497917,0.049727,0.115,0.355,-0.7381,-0.01,-0.0057,-0.4007,4.68501,2.8023,2.48584e-12,2.48584,1e+20,0
1785947422.1207,2026-08-05 18:30:22.120,0,10,0.0,0,locate,-0.0383,-0.497912,0.049723,-0.0097,0.3723,-0.4885,-0.0126,-0.0069,-0.3987,4.68123,2.8359,2.48584e-12,2.48584,1e+20,0
1785947422.1308,2026-08-05 18:30:22.130,0,10,0.0,0,locate,-0.038274,-0.497914,0.049718,-0.2122,0.5132,-0.6749,-0.0143,-0.0138,-0.4048,4.69432,2.7194,2.48584e-12,2.48584,1e+20,0
1785947422.1409,2026-08-05 18:30:22.140,0,10,0.0,0,locate,-0.038293,-0.497918,0.049729,0.0142,0.6272,-0.5451,-0.0164,-0.0049,-0.4003,4.68476,2.8045,2.48584e-12,2.48584,1e+20,0
1785947422.151,2026-08-05 18:30:22.150,0,10,0.0,0,locate,-0.03829,-0.497915,0.049726,-0.2107,0.6606,-0.6431,-0.0214,-0.0122,-0.4015,4.69155,2.7441,2.48584e-12,2.48584,1e+20,0
1785947422.161,2026-08-05 18:30:22.161,0,10,0.0,0,locate,-0.038282,-0.497911,0.049718,-0.3743,0.8411,-0.6784,-0.0202,-0.0176,-0.4104,4.68929,2.7642,2.48584e-12,2.48584,1e+20,0
1785947422.1711,2026-08-05 18:30:22.171,0,10,0.0,0,locate,-0.038273,-0.497919,0.049729,-0.1625,0.5483,-0.8431,-0.0155,-0.0103,-0.4021,4.68979,2.7597,2.48584e-12,2.48584,1e+20,0
1785947422.1812,2026-08-05 18:30:22.181,0,10,0.0,0,locate,-0.038297,-0.497923,0.049731,-0.2106,0.686,-0.7672,-0.0192,-0.0143,-0.4085,4.69231,2.7373,2.48201e-12,2.48201,1e+20,0
1785947422.1913,2026-08-05 18:30:22.191,0,10,0.0,0,locate,-0.038269,-0.497902,0.049711,0.1146,0.3569,-0.7575,-0.0101,-0.0083,-0.3992,4.69558,2.7082,2.48201e-12,2.48201,1e+20,0
1785947422.2014,2026-08-05 18:30:22.201,0,10,0.0,0,locate,-0.038293,-0.497916,0.049725,0.1526,0.4895,-0.8566,-0.0125,-0.0061,-0.4027,4.68476,2.8045,2.48201e-12,2.48201,1e+20,0
1785947422.2115,2026-08-05 18:30:22.211,0,10,0.0,0,locate,-0.038286,-0.497907,0.049716,-0.1951,0.3725,-0.6847,-0.0093,-0.0114,-0.4015,4.68425,2.809,2.48201e-12,2.48201,1e+20,0
1785947422.2215,2026-08-05 18:30:22.221,0,10,0.0,0,locate,-0.038287,-0.49791,0.049713,0.211,0.4054,-0.8656,-0.0116,-0.0022,-0.4002,4.68778,2.7777,2.48201e-12,2.48201,1e+20,0
1785947422.2316,2026-08-05 18:30:22.231,0,10,0.0,0,locate,-0.03828,-0.497915,0.04972,0.3709,0.5494,-0.8162,-0.0145,-0.0002,-0.3996,4.684,2.8113,2.48201e-12,2.48201,1e+20,0
1785947422.2417,2026-08-05 18:30:22.241,0,10,0.0,0,locate,-0.038276,-0.497912,0.049713,-0.2473,0.8434,-0.9612,-0.0255,-0.013,-0.4068,4.68803,2.7754,2.48201e-12,2.48201,1e+20,0
1785947422.2517,2026-08-05 18:30:22.251,0,10,0.0,0,locate,-0.038276,-0.497909,0.049723,0.2951,0.346,-0.9405,-0.011,0.0002,-0.4005,4.68148,2.8337,2.48662e-12,2.4866200000000003,1e+20,0
1785947422.2618,2026-08-05 18:30:22.261,0,10,0.0,0,locate,-0.038287,-0.497908,0.049708,0.3237,0.3296,-0.9228,-0.0105,0.0014,-0.3987,4.69231,2.7373,2.48662e-12,2.4866200000000003,1e+20,0
1785947422.2719,2026-08-05 18:30:22.271,0,10,0.0,0,locate,-0.038296,-0.497905,0.049715,0.4628,0.4966,-0.8397,-0.0151,0.0042,-0.3919,4.69382,2.7239,2.48662e-12,2.4866200000000003,1e+20,0
