sample_id,timestamp,point,depth_mm,sample_num,expected_sensor,top_cell,top_cell_value,cell_1_peak,cell_2_peak,cell_3_peak,cell_4_peak,cell_5_peak,cell_6_peak,cell_7_peak,cell_8_peak,cell_9_peak,cell_10_peak,cell_11_peak,cell_12_peak,cell_13_peak,cell_14_peak,cell_15_peak,cell_16_peak,cell_17_peak,cell_18_peak,cell_19_peak,cell_1_mean,cell_2_mean,cell_3_mean,cell_4_mean,cell_5_mean,cell_6_mean,cell_7_mean,cell_8_mean,cell_9_mean,cell_10_mean,cell_11_mean,cell_12_mean,cell_13_mean,cell_14_mean,cell_15_mean,cell_16_mean,cell_17_mean,cell_18_mean,cell_19_mean,fz_peak_N,fz_mean_N,lc_peak_N,lc_mean_N,tcp_x,tcp_y,tcp_z
0,1780411418.761,1,7.0,0,24,14,0.5774,0.4082,0.3651,0.2582,0.4472,0.4472,0.483,0.2582,0.4082,0.5164,0.483,0.4082,0.2582,0.4082,0.5774,0.3651,0.1826,0.5477,0.3651,0.0,0.3023,0.3248,0.0779,0.4018,0.3907,0.396,0.0551,0.2682,0.462,0.4031,0.3289,0.0437,0.3354,0.5452,0.3407,0.0114,0.4568,0.317,0.0,26.8231,26.5398,13.061,12.9384,-0.04895,-0.48406,0.04254
1,1780411421.51,2,7.0,0,12,9,0.5774,0.4082,0.4472,0.2582,0.5164,0.4082,0.4082,0.1826,0.5164,0.5774,0.4082,0.4082,0.3651,0.483,0.483,0.3651,0.1826,0.5164,0.3651,0.0,0.3054,0.3698,0.0893,0.4665,0.3825,0.3759,0.0456,0.4532,0.5288,0.3668,0.3163,0.0685,0.4384,0.4344,0.2827,0.0114,0.4414,0.3009,0.0,26.7665,26.4081,13.5515,13.3435,-0.04145,-0.48306,0.04253
2,1780411424.284,3,7.0,0,0,4,0.6583,0.4472,0.3651,0.2582,0.6583,0.4082,0.3162,0.2582,0.6325,0.483,0.3162,0.3651,0.2582,0.483,0.4472,0.3651,0.0,0.3651,0.3651,0.0,0.3426,0.2744,0.0779,0.5782,0.3255,0.2981,0.0551,0.5692,0.4466,0.2385,0.2947,0.1263,0.4147,0.3962,0.2499,0.0,0.2922,0.2569,0.0,27.3309,27.1701,11.4572,11.3434,-0.03296,-0.48107,0.04255
3,1780411427.319,4,7.0,0,37,14,0.5477,0.3651,0.3651,0.3162,0.4082,0.4472,0.5164,0.3162,0.2582,0.4472,0.483,0.4472,0.3162,0.2582,0.5477,0.5164,0.2582,0.3651,0.483,0.2582,0.2711,0.3184,0.1918,0.3348,0.3609,0.4524,0.1642,0.1558,0.406,0.4478,0.4015,0.2533,0.0874,0.5118,0.4524,0.0551,0.26,0.4393,0.1283,26.5469,26.2812,13.3432,13.1867,-0.05247,-0.49107,0.04255
4,1780411430.093,5,7.0,0,25,5,0.5477,0.4082,0.4472,0.2582,0.483,0.5477,0.483,0.1826,0.3651,0.5164,0.5477,0.4472,0.3162,0.3651,0.5477,0.3651,0.2582,0.4472,0.483,0.0,0.3606,0.3823,0.0665,0.4039,0.4836,0.456,0.0456,0.162,0.4598,0.4951,0.3964,0.1453,0.3076,0.5028,0.359,0.076,0.4016,0.4562,0.0,25.8248,25.6266,14.77,14.6075,-0.04397,-0.49007,0.04254
5,1780411432.856,6,7.0,0,13,5,0.6055,0.5477,0.483,0.2582,0.5774,0.6055,0.4472,0.3162,0.483,0.5477,0.483,0.4472,0.2582,0.5164,0.5164,0.4082,0.1826,0.4082,0.4082,0.0,0.4966,0.3842,0.0874,0.5195,0.5768,0.4204,0.0946,0.3898,0.5199,0.4393,0.3278,0.1795,0.4342,0.4823,0.3705,0.0228,0.3195,0.3833,0.0,25.838,25.6442,14.8798,14.7083,-0.03597,-0.48956,0.04254
6,1780411435.609,7,7.0,0,1,4,0.6055,0.5774,0.3651,0.2582,0.6055,0.483,0.4472,0.2582,0.5477,0.5164,0.4472,0.3651,0.3162,0.4082,0.4082,0.3651,0.0,0.3162,0.3651,0.0,0.521,0.3218,0.1169,0.573,0.4346,0.3231,0.1653,0.4926,0.4498,0.3416,0.2402,0.1517,0.3187,0.3637,0.3499,0.0,0.2304,0.307,0.0,26.7784,26.6154,12.837,12.7123,-0.02848,-0.48756,0.04254
7,1780411438.789,8,7.0,0,50,16,0.5477,0.3162,0.4082,0.2582,0.3651,0.3651,0.483,0.3162,0.2582,0.3651,0.4472,0.5164,0.4082,0.1826,0.4472,0.5164,0.5477,0.1826,0.5477,0.3651,0.18,0.3495,0.1397,0.2507,0.3243,0.4651,0.2048,0.1169,0.2485,0.3907,0.4826,0.3633,0.0228,0.3504,0.4412,0.4636,0.0228,0.4293,0.3195,26.7894,26.5442,12.4406,12.2957,-0.05547,-0.49857,0.04255
8,1780411441.548,9,7.0,0,38,11,0.6055,0.3651,0.4082,0.4082,0.3651,0.4472,0.5477,0.3651,0.2582,0.3651,0.5164,0.6055,0.4472,0.0,0.483,0.483,0.4082,0.3162,0.6055,0.4082,0.3279,0.3579,0.2495,0.3103,0.4069,0.5028,0.2906,0.1216,0.3067,0.4522,0.5585,0.3546,0.0,0.4464,0.4554,0.3168,0.1497,0.5583,0.3366,25.8876,25.7612,14.6513,14.4807,-0.04746,-0.49756,0.04255
9,1780411444.306,10,7.0,0,26,6,0.6055,0.4472,0.483,0.4082,0.4082,0.5477,0.6055,0.3162,0.3651,0.5477,0.5477,0.483,0.3162,0.3162,0.5477,0.483,0.2582,0.3651,0.483,0.3162,0.3819,0.4452,0.3076,0.3545,0.4817,0.5603,0.2418,0.2151,0.505,0.4972,0.4558,0.2538,0.1659,0.5278,0.4397,0.0893,0.2182,0.4649,0.108,25.8636,25.6953,14.9313,14.7852,-0.03948,-0.49657,0.04254
