timestamp,datetime,ur5_point,ur5_pressing,ur5_done,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,depth_mm,phase,round_idx,sample_idx,load_cell_N
1786555010.6691,2026-08-12 19:16:50.669,,0,0,-0.04,-0.49563,0.07984,-0.7774,9.3653,-32.8565,-0.0485,0.1229,-0.1273,4.69105,0.1826,0.1826,0.0,0.3162,0.1826,0.1826,0.0,0.0,0.3162,0.1826,0.1826,0.0,0.0,0.1826,0.2582,0.1826,0.0,0.1826,0.1826,0.0,,-1,-1,2.7485
1786555010.7192,2026-08-12 19:16:50.719,,0,0,-0.04,-0.49564,0.07983,-0.5684,8.8141,-33.1295,-0.0351,0.1268,-0.1455,4.68476,0.1826,0.1826,0.0,0.3162,0.1826,0.1826,0.0,0.0,0.3162,0.1826,0.1826,0.0,0.0,0.1826,0.2582,0.1826,0.0,0.1826,0.1826,0.0,,-1,-1,2.8045
1786555010.7693,2026-08-12 19:16:50.769,,0,0,-0.04002,-0.49563,0.07981,-0.6405,9.0037,-32.7897,-0.0448,0.1239,-0.1549,4.69382,0.2582,0.0,0.0,0.2582,0.2582,0.2582,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,0.0,0.0,0.2582,0.0,0.1826,0.1826,0.0,,-1,-1,2.7239
1786555010.8193,2026-08-12 19:16:50.819,,0,0,-0.04003,-0.49562,0.07982,-0.5759,8.8935,-32.8595,-0.0358,0.1249,-0.1594,4.68501,0.2582,0.0,0.0,0.2582,0.2582,0.2582,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,0.0,0.0,0.2582,0.0,0.1826,0.1826,0.0,,-1,-1,2.8023
1786555010.8695,2026-08-12 19:16:50.869,,0,0,-0.04004,-0.49563,0.07982,-0.952,9.122,-32.9979,-0.0415,0.1161,-0.1725,4.68677,0.1826,0.1826,0.0,0.2582,0.0,0.1826,0.0,0.0,0.2582,0.0,0.1826,0.0,0.0,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,,-1,-1,2.7866
1786555010.9196,2026-08-12 19:16:50.919,,0,0,-0.04005,-0.49563,0.07982,-0.6777,9.1172,-33.034,-0.041,0.1219,-0.1802,4.69155,0.2582,0.1826,0.0,0.2582,0.0,0.1826,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,0.0,0.0,0.2582,0.0,0.0,0.0,0.0,,-1,-1,2.7441
1786555010.9697,2026-08-12 19:16:50.969,,0,0,-0.04004,-0.49563,0.07983,-0.3954,8.6611,-32.8803,-0.0337,0.1296,-0.1861,4.68526,0.2582,0.1826,0.0,0.2582,0.0,0.1826,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,0.0,0.0,0.2582,0.0,0.0,0.0,0.0,,-1,-1,2.8001
1786555011.0198,2026-08-12 19:16:51.019,,0,0,-0.04006,-0.49562,0.07982,-1.0961,9.2204,-33.071,-0.0435,0.1146,-0.1889,4.69206,0.1826,0.1826,0.0,0.1826,0.0,0.2582,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,0.0,0.0,0.2582,0.0,0.0,0.0,0.0,,-1,-1,2.7396
1786555011.0699,2026-08-12 19:16:51.069,,0,0,-0.04004,-0.49562,0.07982,-1.0379,9.2956,-32.883,-0.0494,0.1098,-0.1899,4.68299,0.1826,0.1826,0.0,0.1826,0.0,0.2582,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,0.0,0.0,0.2582,0.0,0.0,0.0,0.0,,-1,-1,2.8202
1786555011.12,2026-08-12 19:16:51.120,,0,0,-0.04004,-0.49561,0.07981,-0.8889,9.1548,-32.8108,-0.0421,0.117,-0.1966,4.6903,0.1826,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,0.1826,0.3651,0.0,0.0,0.0,0.0,,-1,-1,2.7553
1786555011.1701,2026-08-12 19:16:51.170,,0,0,-0.04004,-0.49561,0.07981,-0.4807,8.9312,-32.9441,-0.0379,0.1269,-0.1926,4.68501,0.3162,0.2582,0.0,0.0,0.2582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3162,0.0,0.0,0.0,0.0,,-1,-1,2.8023
1786555011.2202,2026-08-12 19:16:51.220,,0,0,-0.04004,-0.49561,0.07982,-0.8274,9.2089,-33.0449,-0.0458,0.1163,-0.1976,4.68803,0.3162,0.2582,0.0,0.0,0.2582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3162,0.0,0.0,0.0,0.0,,-1,-1,2.7754
1786555011.2704,2026-08-12 19:16:51.270,,0,0,-0.04005,-0.49561,0.07981,-0.7224,8.7807,-33.0025,-0.0356,0.1219,-0.2014,4.68677,0.0,0.1826,0.0,0.0,0.0,0.2582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3162,0.0,0.0,0.0,0.0,,-1,-1,2.7866
1786555011.3204,2026-08-12 19:16:51.320,,0,0,-0.04003,-0.49561,0.07981,-0.5462,8.7091,-33.1605,-0.0357,0.1263,-0.2015,4.68853,0.0,0.1826,0.0,0.0,0.0,0.2582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3162,0.0,0.0,0.0,0.0,,-1,-1,2.7709
1786555011.3704,2026-08-12 19:16:51.370,,0,0,-0.04004,-0.49562,0.07983,-0.9684,8.836,-33.1618,-0.0349,0.1166,-0.2036,4.68048,0.0,0.3162,0.0,0.2582,0.0,0.1826,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,0.0,0.0,0.2582,0.0,0.0,0.0,0.0,,-1,-1,2.8426
1786555011.4205,2026-08-12 19:16:51.420,,0,0,-0.04005,-0.49561,0.07981,-0.4635,8.8576,-33.1702,-0.0425,0.1269,-0.2008,4.68576,0.2582,0.1826,0.0,0.2582,0.0,0.0,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,0.0,,-1,-1,2.7956
1786555011.4706,2026-08-12 19:16:51.470,,0,0,-0.04005,-0.49562,0.07983,-0.7918,9.2235,-32.8454,-0.0452,0.1161,-0.2067,4.69155,0.2582,0.1826,0.0,0.2582,0.0,0.0,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,0.0,,-1,-1,2.7441
1786555011.5207,2026-08-12 19:16:51.520,,0,0,-0.04004,-0.4956,0.0798,-0.5649,8.5542,-32.9678,-0.0309,0.1265,-0.2111,4.69206,0.0,0.0,0.0,0.2582,0.1826,0.2582,0.1826,0.0,0.1826,0.1826,0.1826,0.0,0.0,0.0,0.2582,0.1826,0.0,0.0,0.1826,0.0,,-1,-1,2.7396
1786555011.5709,2026-08-12 19:16:51.570,,0,0,-0.04003,-0.49561,0.07982,-0.3496,8.9079,-33.1662,-0.0391,0.1317,-0.2074,4.69181,0.0,0.0,0.0,0.2582,0.1826,0.2582,0.1826,0.0,0.1826,0.1826,0.1826,0.0,0.0,0.0,0.2582,0.1826,0.0,0.0,0.1826,0.0,,-1,-1,2.7418
1786555011.621,2026-08-12 19:16:51.621,,0,0,-0.04003,-0.49562,0.07982,-0.6134,8.9219,-33.1924,-0.0408,0.1252,-0.2123,4.6903,0.1826,0.1826,0.0,0.2582,0.1826,0.2582,0.1826,0.0,0.1826,0.0,0.0,0.1826,0.0,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,,-1,-1,2.7553
1786555011.6711,2026-08-12 19:16:51.671,,0,0,-0.04003,-0.49562,0.07982,-0.4576,8.8276,-33.1446,-0.0399,0.1261,-0.2066,4.68174,0.0,0.1826,0.0,0.1826,0.0,0.0,0.2582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2582,0.2582,0.0,0.0,0.2582,0.0,,-1,-1,2.8314
1786555011.7212,2026-08-12 19:16:51.721,,0,0,-0.04003,-0.49561,0.0798,-0.4835,8.6447,-33.137,-0.0344,0.1248,-0.2116,4.6845,0.0,0.1826,0.0,0.1826,0.0,0.0,0.2582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2582,0.2582,0.0,0.0,0.2582,0.0,,-1,-1,2.8068
1786555011.7714,2026-08-12 19:16:51.771,,0,0,-0.04005,-0.49562,0.07982,-0.4717,8.8634,-33.1535,-0.0381,0.1287,-0.2119,4.68526,0.0,0.2582,0.0,0.0,0.0,0.2582,0.0,0.0,0.0,0.0,0.3162,0.0,0.0,0.0,0.1826,0.3651,0.0,0.1826,0.0,0.0,,-1,-1,2.8001
1786555011.8215,2026-08-12 19:16:51.821,,0,0,-0.04005,-0.49561,0.0798,-0.8828,9.1485,-33.0567,-0.0409,0.1159,-0.2189,4.69206,0.0,0.2582,0.0,0.0,0.0,0.2582,0.0,0.0,0.0,0.0,0.3162,0.0,0.0,0.0,0.1826,0.3651,0.0,0.1826,0.0,0.0,,-1,-1,2.7396
1786555011.8716,2026-08-12 19:16:51.871,,0,0,-0.04006,-0.49562,0.07982,-0.5341,9.0418,-33.0405,-0.0426,0.1255,-0.2192,4.69432,0.1826,0.2582,0.0,0.3162,0.1826,0.2582,0.0,0.0,0.2582,0.0,0.2582,0.0,0.0,0.0,0.0,0.3162,0.0,0.0,0.0,0.0,,-1,-1,2.7194
1786555011.9216,2026-08-12 19:16:51.921,,0,0,-0.04004,-0.49561,0.07981,-0.3227,8.7746,-33.1792,-0.0332,0.1339,-0.2206,4.68174,0.1826,0.2582,0.0,0.3162,0.1826,0.2582,0.0,0.0,0.2582,0.0,0.2582,0.0,0.0,0.0,0.0,0.3162,0.0,0.0,0.0,0.0,,-1,-1,2.8314
1786555011.9718,2026-08-12 19:16:51.971,,0,0,-0.04005,-0.49562,0.07981,-0.3479,8.9322,-33.1663,-0.039,0.1306,-0.2254,4.6908,0.0,0.1826,0.0,0.1826,0.0,0.1826,0.0,0.0,0.1826,0.0,0.0,0.0,0.0,0.0,0.0,0.3162,0.0,0.0,0.0,0.0,,-1,-1,2.7508
1786555012.0219,2026-08-12 19:16:52.021,18,0,0,-0.04004,-0.49565,0.07977,-0.5484,8.5522,-32.78,-0.0311,0.1254,-0.2193,4.68199,0.0,0.1826,0.0,0.1826,0.0,0.2582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1826,0.2582,0.0,0.0,0.0,10.0,locate,0,0,2.8292
