timestamp,datetime,ur5_point,ur5_pressing,ur5_done,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,depth_mm,phase,round_idx,sample_idx,load_cell_N
1786635353.2988,2026-08-13 17:35:53.298,,0,0,-0.04006,-0.49561,0.07981,4.8392,-3.3063,-11.3526,0.0735,0.117,-0.0656,4.68551,0.1826,0.0,0.0,0.0,0.1826,0.0,0.0,0.1826,0.0,0.0,0.0,0.1826,0.1826,0.0,0.0,0.1826,0.1826,0.0,0.1826,0.0,,-1,-1,2.7978
1786635353.349,2026-08-13 17:35:53.348,,0,0,-0.04002,-0.49562,0.07982,4.8839,-2.8032,-11.3823,0.0631,0.1189,-0.0634,4.68828,0.1826,0.0,0.2582,0.0,0.2582,0.0,0.1826,0.0,0.0,0.2582,0.0,0.0,0.2582,0.1826,0.0,0.0,0.1826,0.0,0.1826,0.0,,-1,-1,2.7732
1786635353.399,2026-08-13 17:35:53.399,,0,0,-0.04003,-0.4956,0.0798,4.9529,-3.157,-11.1378,0.0725,0.1192,-0.0636,4.6908,0.1826,0.0,0.2582,0.0,0.2582,0.0,0.1826,0.0,0.0,0.2582,0.0,0.0,0.2582,0.1826,0.0,0.0,0.1826,0.0,0.1826,0.0,,-1,-1,2.7508
1786635353.4493,2026-08-13 17:35:53.449,,0,0,-0.04005,-0.4956,0.0798,5.1277,-3.3448,-11.1573,0.0798,0.1239,-0.0596,4.69206,0.2582,0.0,0.0,0.0,0.3162,0.0,0.0,0.1826,0.0,0.2582,0.1826,0.2582,0.2582,0.1826,0.1826,0.2582,0.1826,0.0,0.2582,0.0,,-1,-1,2.7396
1786635353.4995,2026-08-13 17:35:53.499,,0,0,-0.04004,-0.49561,0.07981,4.7476,-3.1064,-11.0245,0.0711,0.1151,-0.0657,4.69155,0.3162,0.1826,0.3162,0.0,0.3651,0.0,0.2582,0.0,0.0,0.0,0.0,0.3162,0.1826,0.0,0.0,0.1826,0.3162,0.0,0.1826,0.0,,-1,-1,2.7441
1786635353.5495,2026-08-13 17:35:53.549,,0,0,-0.04005,-0.49562,0.07982,4.9575,-2.8515,-11.0827,0.0646,0.1178,-0.0668,4.69231,0.3162,0.1826,0.3162,0.0,0.3651,0.0,0.2582,0.0,0.0,0.0,0.0,0.3162,0.1826,0.0,0.0,0.1826,0.3162,0.0,0.1826,0.0,,-1,-1,2.7373
1786635353.5996,2026-08-13 17:35:53.599,,0,0,-0.04003,-0.4956,0.0798,4.9333,-3.221,-11.1288,0.0689,0.123,-0.0636,4.68375,0.1826,0.0,0.2582,0.0,0.2582,0.0,0.0,0.2582,0.0,0.1826,0.0,0.1826,0.3162,0.0,0.0,0.0,0.2582,0.0,0.0,0.0,,-1,-1,2.8135
1786635353.6498,2026-08-13 17:35:53.649,,0,0,-0.04004,-0.49562,0.07981,5.0552,-3.233,-11.3142,0.0723,0.1219,-0.064,4.6835,0.1826,0.0,0.2582,0.0,0.2582,0.0,0.0,0.2582,0.0,0.1826,0.0,0.1826,0.3162,0.0,0.0,0.0,0.2582,0.0,0.0,0.0,,-1,-1,2.8157
1786635353.6999,2026-08-13 17:35:53.699,,0,0,-0.04006,-0.49563,0.07981,5.2164,-3.0542,-11.1922,0.0701,0.1279,-0.063,4.69281,0.3162,0.0,0.0,0.0,0.2582,0.0,0.0,0.3162,0.0,0.0,0.0,0.0,0.2582,0.1826,0.0,0.1826,0.0,0.0,0.0,0.0,,-1,-1,2.7329
1786635353.75,2026-08-13 17:35:53.750,,0,0,-0.04004,-0.49563,0.07982,4.5786,-2.8745,-11.1487,0.0648,0.1114,-0.0703,4.67947,0.1826,0.0,0.3651,0.0,0.1826,0.0,0.2582,0.0,0.0,0.1826,0.0,0.2582,0.0,0.0,0.0,0.0,0.3162,0.1826,0.1826,0.0,,-1,-1,2.8516
