surface,point,calib,raw_v0,raw_press,norm_v0,norm_press,norm_deltaV
flat,1,22.0000,22.7500,28.9250,0.158092,0.480449,0.315639
flat,2,22.0000,23.4125,29.5110,0.216883,0.500349,0.284619
flat,3,21.0000,22.5625,26.6949,0.228070,0.435685,0.200069
flat,4,23.0000,23.4000,25.7000,0.115243,0.299977,0.184541
flat,5,22.0000,23.0114,35.2917,0.183524,0.665623,0.474333
flat,6,22.0000,22.0250,31.8872,0.040825,0.574083,0.526206
flat,7,21.0000,20.7625,23.5270,0.000000,0.290216,0.287908
flat,8,21.0000,22.5000,24.5167,0.223107,0.342353,0.115370
flat,9,23.0000,22.9875,23.4083,0.020412,0.116275,0.048995
flat,10,21.0000,22.5375,31.4292,0.226368,0.589609,0.358532
flat,11,22.0000,22.6250,27.0085,0.144077,0.408593,0.262458
flat,12,21.0000,21.5625,23.7786,0.136237,0.304293,0.175566
flat,13,20.0000,22.5750,24.4599,0.292959,0.385553,0.091569
flat,14,21.0000,24.6875,35.1042,0.350594,0.685665,0.328824
flat,15,21.0000,22.7250,32.8500,0.239785,0.628490,0.387369
flat,16,22.0000,22.3250,24.4269,0.103773,0.284418,0.172950
flat,17,21.0000,21.8375,26.7738,0.166854,0.438700,0.271623
flat,18,22.0000,23.5205,33.4542,0.225116,0.617900,0.394014
flat,19,21.0000,21.6125,26.7875,0.140651,0.439220,0.286331
solid,1,21.0000,23.5625,26.8083,0.292260,0.440013,0.143284
solid,2,22.0000,23.6875,27.9623,0.237130,0.445807,0.202716
solid,3,22.0000,22.7000,25.2833,0.151535,0.330717,0.189505
solid,4,22.0000,21.7000,22.3958,0.000000,0.114674,0.083832
solid,5,21.0000,24.9500,37.6042,0.362859,0.743957,0.376884
solid,6,21.0000,23.4875,32.1500,0.287952,0.609645,0.322110
solid,7,21.0000,20.9500,22.7333,0.000000,0.240270,0.207772
solid,8,21.0000,21.9625,23.4792,0.179024,0.287458,0.105471
solid,9,21.0000,21.7875,22.7875,0.161973,0.244024,0.056969
solid,10,22.0000,25.4875,33.2417,0.340950,0.612146,0.269388
solid,11,22.0000,24.4750,32.3625,0.287228,0.587721,0.294418
solid,12,21.0000,20.8500,23.1625,0.000000,0.268468,0.246889
solid,13,21.0000,20.7375,21.4667,0.000000,0.124220,0.068352
solid,14,22.0000,22.3250,23.3125,0.104083,0.209089,0.094406
solid,15,22.0000,24.6875,32.3167,0.299122,0.586419,0.279663
solid,16,22.0000,22.2125,23.8542,0.084126,0.248607,0.161913
solid,17,21.0000,21.8571,22.0042,0.169022,0.182707,0.021805
solid,18,22.0000,21.9768,22.7327,0.014434,0.155852,0.095181
solid,19,21.0000,23.0000,21.4125,0.258118,0.117223,-0.143945
hollow,1,10.0000,13.8375,16.2417,0.357654,0.456130,0.099808
hollow,2,20.0000,20.5625,24.6542,0.136922,0.393870,0.251188
hollow,3,21.0000,20.5071,22.7405,0.000000,0.240858,0.236871
hollow,4,18.0000,19.8875,20.9375,0.250820,0.312916,0.068659
hollow,5,12.0000,15.6000,23.5667,0.346391,0.620931,0.269152
hollow,6,20.0000,19.5375,28.6708,0.000000,0.537610,0.534763
hollow,7,18.0000,19.8500,21.9417,0.248305,0.362466,0.122039
hollow,8,16.0000,17.5680,18.5775,0.228618,0.293112,0.080743
hollow,9,17.0000,19.5375,23.9000,0.290831,0.479583,0.192490
hollow,10,12.0000,14.3125,27.6458,0.277630,0.722169,0.440977
hollow,11,21.0000,20.6750,22.6151,0.000000,0.232024,0.224535
hollow,12,19.0000,19.0804,20.4181,0.049527,0.217344,0.165014
hollow,13,19.0000,18.7441,19.0710,0.000000,0.046783,0.028522
hollow,14,17.0000,19.4875,27.2208,0.287944,0.583687,0.297949
hollow,15,14.0000,15.5750,23.1792,0.229122,0.553147,0.323335
hollow,16,20.0000,19.7625,21.1833,0.000000,0.198601,0.181429
hollow,17,21.0000,21.2536,23.0750,0.091855,0.262964,0.202093
hollow,18,20.0000,21.7250,25.9162,0.239634,0.444081,0.210200
hollow,19,15.0000,14.8125,18.5167,0.000000,0.342373,0.337672
