timestamp,datetime,ur5_point,ur5_label,ur5_pressing,ur5_done,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7,calib_8,calib_9,calib_10,calib_11,calib_12,calib_13,calib_14,calib_15,calib_16,calib_17,calib_18,calib_19,depth_mm,phase,round_idx,sample_idx,load_cell_N
1787153651.5529,2026-08-19 17:34:11.552,,,0,0,-0.03808,-0.49676,0.07968,-4.4793,10.106,-25.2249,-0.0704,0.0067,-0.5074,4.68979,20.0,20.0,22.0,20.0,19.0,22.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,21.0,23.0,22.0,21.0,21.0,20.0,21.0,22.0,21.0,21.0,22.0,21.0,22.0,21.0,22.0,21.0,21.0,21.0,22.0,22.0,23.0,20.0,22.0,23.0,21.0,0.0,,-1,-1,2.7597
1787153651.603,2026-08-19 17:34:11.602,,,0,0,-0.03809,-0.49674,0.07964,-3.8067,9.9904,-25.2941,-0.0665,0.0184,-0.4946,4.6908,20.0,20.0,22.0,20.0,19.0,22.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,21.0,23.0,22.0,21.0,21.0,20.0,21.0,22.0,21.0,21.0,22.0,21.0,22.0,21.0,22.0,21.0,21.0,21.0,22.0,22.0,23.0,20.0,22.0,23.0,21.0,0.0,,-1,-1,2.7508
1787153651.6531,2026-08-19 17:34:11.653,,,0,0,-0.0381,-0.49675,0.07964,-4.3782,10.3223,-25.2157,-0.0704,0.0022,-0.4976,4.68778,21.0,21.0,21.0,20.0,20.0,21.0,22.0,21.0,19.0,23.0,23.0,20.0,20.0,22.0,23.0,21.0,22.0,21.0,22.0,21.0,22.0,21.0,21.0,22.0,21.0,22.0,21.0,22.0,21.0,21.0,21.0,22.0,22.0,23.0,20.0,22.0,23.0,21.0,0.0,,-1,-1,2.7777
1787153651.7032,2026-08-19 17:34:11.703,,,0,0,-0.03811,-0.49676,0.07965,-4.4287,10.3763,-25.1592,-0.0744,0.0009,-0.4916,4.69483,21.0,20.0,21.0,20.0,19.0,22.0,23.0,20.0,18.0,23.0,22.0,20.0,19.0,23.0,22.0,21.0,22.0,21.0,22.0,21.0,22.0,21.0,21.0,22.0,21.0,22.0,21.0,22.0,21.0,21.0,21.0,22.0,22.0,23.0,20.0,22.0,23.0,21.0,0.0,,-1,-1,2.7149
1787153651.7533,2026-08-19 17:34:11.753,,,0,0,-0.03814,-0.49679,0.07967,-4.3599,10.4824,-25.2878,-0.0774,0.0025,-0.4817,4.69256,21.0,20.0,21.0,20.0,19.0,22.0,23.0,20.0,18.0,23.0,22.0,20.0,19.0,23.0,22.0,21.0,22.0,21.0,22.0,21.0,22.0,21.0,21.0,22.0,21.0,22.0,21.0,22.0,21.0,21.0,21.0,22.0,22.0,23.0,20.0,22.0,23.0,21.0,0.0,,-1,-1,2.7351
1787153651.8035,2026-08-19 17:34:11.803,,,0,0,-0.03814,-0.49679,0.07968,-4.2526,10.3313,-25.3872,-0.0735,0.0077,-0.4738,4.6913,19.0,20.0,22.0,19.0,19.0,22.0,21.0,19.0,20.0,22.0,21.0,19.0,20.0,21.0,22.0,19.0,22.0,20.0,20.0,21.0,22.0,21.0,21.0,22.0,21.0,22.0,21.0,22.0,21.0,21.0,21.0,22.0,22.0,23.0,20.0,22.0,23.0,21.0,0.0,,-1,-1,2.7463
1787153651.8536,2026-08-19 17:34:11.853,,,0,0,-0.03813,-0.4968,0.07968,-4.1277,10.1699,-25.4217,-0.0703,0.0095,-0.4691,4.69961,19.0,20.0,22.0,19.0,19.0,22.0,21.0,19.0,20.0,22.0,21.0,19.0,20.0,21.0,22.0,19.0,22.0,20.0,20.0,21.0,22.0,21.0,21.0,22.0,21.0,22.0,21.0,22.0,21.0,21.0,21.0,22.0,22.0,23.0,20.0,22.0,23.0,21.0,0.0,,-1,-1,2.6724
1787153651.9038,2026-08-19 17:34:11.903,,,0,0,-0.03813,-0.4968,0.07969,-4.0233,9.997,-25.4957,-0.0657,0.0138,-0.4697,4.68602,18.0,19.0,21.0,19.0,20.0,22.0,22.0,20.0,20.0,21.0,21.0,21.0,22.0,21.0,20.0,22.0,21.0,20.0,20.0,21.0,22.0,21.0,21.0,22.0,21.0,22.0,21.0,22.0,21.0,21.0,21.0,22.0,22.0,23.0,20.0,22.0,23.0,21.0,0.0,,-1,-1,2.7933
1787153651.9539,2026-08-19 17:34:11.953,,,0,0,-0.03811,-0.49682,0.0797,-3.9853,9.9449,-25.4941,-0.0642,0.013,-0.4659,4.69231,20.0,21.0,21.0,20.0,20.0,20.0,21.0,21.0,20.0,22.0,22.0,21.0,22.0,21.0,22.0,22.0,21.0,22.0,24.0,21.0,22.0,21.0,21.0,22.0,21.0,22.0,21.0,22.0,21.0,21.0,21.0,22.0,22.0,23.0,20.0,22.0,23.0,21.0,0.0,,-1,-1,2.7373
1787153652.0039,2026-08-19 17:34:12.003,,,0,0,-0.03814,-0.4968,0.0797,-4.3995,10.4009,-25.1509,-0.0779,0.0034,-0.4707,4.69382,20.0,21.0,21.0,20.0,20.0,20.0,21.0,21.0,20.0,22.0,22.0,21.0,22.0,21.0,22.0,22.0,21.0,22.0,24.0,21.0,22.0,21.0,21.0,22.0,21.0,22.0,21.0,22.0,21.0,21.0,21.0,22.0,22.0,23.0,20.0,22.0,23.0,21.0,0.0,,-1,-1,2.7239
