timestamp,datetime,ur5_point,ur5_label,ur5_pressing,ur5_done,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7,calib_8,calib_9,calib_10,calib_11,calib_12,calib_13,calib_14,calib_15,calib_16,calib_17,calib_18,calib_19,depth_mm,phase,round_idx,sample_idx,load_cell_N
1787152249.16,2026-08-19 17:10:49.159,,,0,0,-0.03945,-0.49596,0.08088,-4.6202,10.5151,-23.8078,-0.0789,0.004,-0.2573,4.69357,20.0,20.0,22.0,21.0,22.0,22.0,21.0,21.0,22.0,23.0,21.0,22.0,22.0,21.0,21.0,20.0,20.0,22.0,20.0,21.0,22.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,21.0,22.0,21.0,21.0,21.0,21.0,22.0,21.0,0.0,,-1,-1,2.7261
1787152249.2102,2026-08-19 17:10:49.210,,,0,0,-0.03944,-0.49595,0.08084,-4.3914,10.4432,-24.2142,-0.0769,0.0102,-0.2555,4.69432,21.0,22.0,21.0,20.0,23.0,23.0,22.0,22.0,21.0,24.0,22.0,21.0,22.0,22.0,21.0,20.0,24.0,21.0,20.0,21.0,22.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,21.0,22.0,21.0,21.0,21.0,21.0,22.0,21.0,0.0,,-1,-1,2.7194
1787152249.2603,2026-08-19 17:10:49.260,,,0,0,-0.03942,-0.49595,0.08084,-4.6087,10.3473,-24.0676,-0.0801,0.0067,-0.2569,4.68904,21.0,22.0,21.0,20.0,23.0,23.0,22.0,22.0,21.0,24.0,22.0,21.0,22.0,22.0,21.0,20.0,24.0,21.0,20.0,21.0,22.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,21.0,22.0,21.0,21.0,21.0,21.0,22.0,21.0,0.0,,-1,-1,2.7665
1787152249.3105,2026-08-19 17:10:49.310,,,0,0,-0.03942,-0.49598,0.08087,-3.9636,9.7255,-24.266,-0.0608,0.0231,-0.247,4.69181,20.0,22.0,23.0,20.0,22.0,24.0,20.0,21.0,20.0,24.0,23.0,21.0,20.0,22.0,22.0,20.0,22.0,21.0,20.0,21.0,22.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,21.0,22.0,21.0,21.0,21.0,21.0,22.0,21.0,0.0,,-1,-1,2.7418
1787152249.3606,2026-08-19 17:10:49.360,,,0,0,-0.03944,-0.49601,0.08087,-4.105,9.9519,-24.053,-0.0729,0.0177,-0.2445,4.69155,20.0,22.0,23.0,20.0,22.0,24.0,20.0,21.0,20.0,24.0,23.0,21.0,20.0,22.0,22.0,20.0,22.0,21.0,20.0,21.0,22.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,21.0,22.0,21.0,21.0,21.0,21.0,22.0,21.0,0.0,,-1,-1,2.7441
1787152249.4108,2026-08-19 17:10:49.410,,,0,0,-0.03944,-0.49601,0.08089,-4.3855,10.2835,-24.1938,-0.0752,0.0089,-0.2568,4.69382,19.0,20.0,22.0,21.0,20.0,23.0,22.0,21.0,19.0,24.0,21.0,21.0,20.0,23.0,22.0,21.0,23.0,21.0,20.0,21.0,22.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,21.0,22.0,21.0,21.0,21.0,21.0,22.0,21.0,0.0,,-1,-1,2.7239
1787152249.4609,2026-08-19 17:10:49.460,,,0,0,-0.03944,-0.496,0.08089,-4.5335,10.307,-24.3424,-0.0736,0.0081,-0.2601,4.69432,19.0,20.0,22.0,20.0,20.0,25.0,21.0,22.0,20.0,24.0,22.0,22.0,19.0,22.0,22.0,22.0,22.0,21.0,22.0,21.0,22.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,21.0,22.0,21.0,21.0,21.0,21.0,22.0,21.0,0.0,,-1,-1,2.7194
1787152249.511,2026-08-19 17:10:49.511,,,0,0,-0.03943,-0.49601,0.0809,-4.465,10.1507,-24.1893,-0.071,0.0057,-0.251,4.68954,19.0,20.0,22.0,20.0,20.0,25.0,21.0,22.0,20.0,24.0,22.0,22.0,19.0,22.0,22.0,22.0,22.0,21.0,22.0,21.0,22.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,21.0,22.0,21.0,21.0,21.0,21.0,22.0,21.0,0.0,,-1,-1,2.762
1787152249.5611,2026-08-19 17:10:49.561,,,0,0,-0.03943,-0.496,0.08091,-4.7807,10.3214,-23.9563,-0.0752,0.0002,-0.2536,4.69231,21.0,19.0,22.0,21.0,20.0,23.0,21.0,21.0,20.0,23.0,23.0,20.0,21.0,22.0,22.0,18.0,22.0,22.0,19.0,21.0,22.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,21.0,22.0,21.0,21.0,21.0,21.0,22.0,21.0,0.0,,-1,-1,2.7373
1787152249.6112,2026-08-19 17:10:49.611,,,0,0,-0.03943,-0.49602,0.08091,-4.6987,10.2676,-24.1002,-0.0809,0.0014,-0.2581,4.68551,21.0,19.0,22.0,21.0,20.0,23.0,21.0,21.0,20.0,23.0,23.0,20.0,21.0,22.0,22.0,18.0,22.0,22.0,19.0,21.0,22.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,21.0,22.0,21.0,21.0,21.0,21.0,22.0,21.0,0.0,,-1,-1,2.7978
