timestamp,datetime,ur5_point,ur5_label,ur5_pressing,ur5_done,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7,calib_8,calib_9,calib_10,calib_11,calib_12,calib_13,calib_14,calib_15,calib_16,calib_17,calib_18,calib_19,depth_mm,phase,round_idx,sample_idx,load_cell_N
1787151408.5628,2026-08-19 16:56:48.562,,,0,0,-0.03964,-0.49531,0.08011,-4.1747,10.0588,-24.1899,-0.0715,0.0202,-0.0001,4.69709,19.0,19.0,13.0,19.0,19.0,13.0,20.0,20.0,16.0,13.0,16.0,21.0,18.0,13.0,17.0,19.0,12.0,18.0,17.0,19.0,20.0,15.0,18.0,21.0,14.0,20.0,21.0,20.0,12.0,17.0,21.0,20.0,12.0,17.0,19.0,10.0,18.0,16.0,0.0,,-1,-1,2.6948
1787151408.6127,2026-08-19 16:56:48.612,,,0,0,-0.03964,-0.49531,0.0801,-4.095,9.8531,-24.4215,-0.0703,0.0215,0.0036,4.6903,19.0,18.0,13.0,19.0,17.0,13.0,20.0,19.0,18.0,13.0,18.0,21.0,19.0,15.0,18.0,18.0,12.0,18.0,15.0,19.0,20.0,15.0,18.0,21.0,14.0,20.0,21.0,20.0,12.0,17.0,21.0,20.0,12.0,17.0,19.0,10.0,18.0,16.0,0.0,,-1,-1,2.7553
1787151408.6628,2026-08-19 16:56:48.662,,,0,0,-0.03962,-0.49531,0.08011,-4.012,9.8589,-24.4133,-0.0679,0.0218,0.0034,4.68954,19.0,19.0,14.0,19.0,19.0,14.0,20.0,20.0,17.0,14.0,16.0,21.0,18.0,15.0,18.0,17.0,14.0,19.0,17.0,19.0,20.0,15.0,18.0,21.0,14.0,20.0,21.0,20.0,12.0,17.0,21.0,20.0,12.0,17.0,19.0,10.0,18.0,16.0,0.0,,-1,-1,2.762
1787151408.7129,2026-08-19 16:56:48.712,,,0,0,-0.03965,-0.4953,0.0801,-3.9116,9.6913,-24.3613,-0.0629,0.0253,0.0086,4.69558,19.0,19.0,14.0,19.0,19.0,14.0,20.0,20.0,17.0,14.0,16.0,21.0,18.0,15.0,18.0,17.0,14.0,19.0,17.0,19.0,20.0,15.0,18.0,21.0,14.0,20.0,21.0,20.0,12.0,17.0,21.0,20.0,12.0,17.0,19.0,10.0,18.0,16.0,0.0,,-1,-1,2.7082
1787151408.7631,2026-08-19 16:56:48.763,,,0,0,-0.03964,-0.49531,0.08011,-4.3041,9.8979,-24.3169,-0.0682,0.0177,0.0022,4.68929,17.0,18.0,14.0,18.0,18.0,14.0,20.0,19.0,17.0,12.0,18.0,20.0,18.0,14.0,18.0,17.0,12.0,19.0,15.0,19.0,20.0,15.0,18.0,21.0,14.0,20.0,21.0,20.0,12.0,17.0,21.0,20.0,12.0,17.0,19.0,10.0,18.0,16.0,0.0,,-1,-1,2.7642
1787151408.8132,2026-08-19 16:56:48.813,,,0,0,-0.03964,-0.49532,0.08011,-4.1766,10.1414,-24.1928,-0.0736,0.0193,0.0078,4.6986,17.0,18.0,14.0,18.0,18.0,14.0,20.0,19.0,17.0,12.0,18.0,20.0,18.0,14.0,18.0,17.0,12.0,19.0,15.0,19.0,20.0,15.0,18.0,21.0,14.0,20.0,21.0,20.0,12.0,17.0,21.0,20.0,12.0,17.0,19.0,10.0,18.0,16.0,0.0,,-1,-1,2.6813
1787151408.8632,2026-08-19 16:56:48.863,,,0,0,-0.03962,-0.49529,0.08008,-4.0143,10.3022,-24.2262,-0.0775,0.0239,0.0112,4.68602,18.0,18.0,14.0,18.0,17.0,13.0,21.0,21.0,18.0,13.0,17.0,21.0,18.0,15.0,17.0,19.0,13.0,18.0,17.0,19.0,20.0,15.0,18.0,21.0,14.0,20.0,21.0,20.0,12.0,17.0,21.0,20.0,12.0,17.0,19.0,10.0,18.0,16.0,0.0,,-1,-1,2.7933
1787151408.9133,2026-08-19 16:56:48.913,,,0,0,-0.03964,-0.49531,0.0801,-4.04,9.9741,-24.274,-0.0721,0.0215,0.0055,4.69558,18.0,18.0,14.0,18.0,17.0,13.0,21.0,21.0,18.0,13.0,17.0,21.0,18.0,15.0,17.0,19.0,13.0,18.0,17.0,19.0,20.0,15.0,18.0,21.0,14.0,20.0,21.0,20.0,12.0,17.0,21.0,20.0,12.0,17.0,19.0,10.0,18.0,16.0,0.0,,-1,-1,2.7082
1787151408.9635,2026-08-19 16:56:48.963,,,0,0,-0.03964,-0.4953,0.0801,-4.1139,10.0688,-24.1064,-0.0762,0.0226,0.0007,4.6986,20.0,18.0,15.0,19.0,17.0,14.0,19.0,20.0,18.0,13.0,19.0,21.0,20.0,14.0,18.0,19.0,14.0,18.0,17.0,19.0,20.0,15.0,18.0,21.0,14.0,20.0,21.0,20.0,12.0,17.0,21.0,20.0,12.0,17.0,19.0,10.0,18.0,16.0,0.0,,-1,-1,2.6813
1787151409.0136,2026-08-19 16:56:49.013,,,0,0,-0.03963,-0.49531,0.08011,-4.2035,10.173,-24.1455,-0.0734,0.0186,0.0066,4.68904,19.0,19.0,15.0,20.0,19.0,15.0,20.0,20.0,18.0,11.0,17.0,22.0,19.0,13.0,18.0,18.0,13.0,18.0,16.0,19.0,20.0,15.0,18.0,21.0,14.0,20.0,21.0,20.0,12.0,17.0,21.0,20.0,12.0,17.0,19.0,10.0,18.0,16.0,0.0,,-1,-1,2.7665
