timestamp,datetime,ur5_point,ur5_label,ur5_pressing,ur5_done,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7,calib_8,calib_9,calib_10,calib_11,calib_12,calib_13,calib_14,calib_15,calib_16,calib_17,calib_18,calib_19,depth_mm,phase,round_idx,sample_idx,load_cell_N
1787649000.3167,2026-08-25 11:10:00.316,,,0,0,-0.03957,-0.49523,0.07985,21.1091,-7.0834,-70.0551,0.2691,0.5679,-0.355,4.684,23.0,21.0,20.0,24.0,20.0,21.0,23.0,22.0,19.0,20.0,19.0,20.0,20.0,20.0,20.0,21.0,19.0,22.0,23.0,25.0,24.0,23.0,24.0,25.0,24.0,22.0,24.0,22.0,23.0,23.0,23.0,22.0,22.0,24.0,20.0,20.0,22.0,23.0,0.0,,-1,-1,2.8113
1787649000.3668,2026-08-25 11:10:00.366,,,0,0,-0.03958,-0.49523,0.07982,20.6416,-6.6207,-70.1672,0.2618,0.5576,-0.345,4.69709,24.0,21.0,20.0,23.0,20.0,21.0,21.0,22.0,22.0,20.0,19.0,20.0,21.0,21.0,23.0,21.0,19.0,23.0,24.0,25.0,24.0,23.0,24.0,25.0,24.0,22.0,24.0,22.0,23.0,23.0,23.0,22.0,22.0,24.0,20.0,20.0,22.0,23.0,0.0,,-1,-1,2.6948
1787649000.4171,2026-08-25 11:10:00.417,,,0,0,-0.0396,-0.49525,0.07985,21.2292,-6.7993,-70.4154,0.2646,0.5697,-0.3353,4.68828,24.0,22.0,20.0,24.0,22.0,22.0,21.0,21.0,18.0,20.0,20.0,20.0,20.0,21.0,22.0,19.0,20.0,23.0,23.0,25.0,24.0,23.0,24.0,25.0,24.0,22.0,24.0,22.0,23.0,23.0,23.0,22.0,22.0,24.0,20.0,20.0,22.0,23.0,0.0,,-1,-1,2.7732
1787649000.4671,2026-08-25 11:10:00.467,,,0,0,-0.03962,-0.49528,0.07984,20.7004,-6.8411,-70.1271,0.2691,0.5571,-0.323,4.69281,24.0,22.0,20.0,24.0,22.0,22.0,21.0,21.0,18.0,20.0,20.0,20.0,20.0,21.0,22.0,19.0,20.0,23.0,23.0,25.0,24.0,23.0,24.0,25.0,24.0,22.0,24.0,22.0,23.0,23.0,23.0,22.0,22.0,24.0,20.0,20.0,22.0,23.0,0.0,,-1,-1,2.7329
1787649000.5172,2026-08-25 11:10:00.517,,,0,0,-0.03962,-0.4953,0.07987,20.935,-6.6879,-70.204,0.259,0.564,-0.3178,4.68627,24.0,20.0,21.0,22.0,20.0,22.0,22.0,21.0,19.0,20.0,20.0,20.0,19.0,22.0,21.0,19.0,21.0,22.0,22.0,25.0,24.0,23.0,24.0,25.0,24.0,22.0,24.0,22.0,23.0,23.0,23.0,22.0,22.0,24.0,20.0,20.0,22.0,23.0,0.0,,-1,-1,2.7911
1787649000.5673,2026-08-25 11:10:00.567,,,0,0,-0.03963,-0.49531,0.07988,21.2349,-7.2372,-70.2099,0.2743,0.5695,-0.3112,4.69155,24.0,20.0,21.0,22.0,20.0,22.0,22.0,21.0,19.0,20.0,20.0,20.0,19.0,22.0,21.0,19.0,21.0,22.0,22.0,25.0,24.0,23.0,24.0,25.0,24.0,22.0,24.0,22.0,23.0,23.0,23.0,22.0,22.0,24.0,20.0,20.0,22.0,23.0,0.0,,-1,-1,2.7441
1787649000.6175,2026-08-25 11:10:00.617,,,0,0,-0.03963,-0.49531,0.07989,21.2495,-7.0922,-70.2953,0.2729,0.5741,-0.3149,4.68778,23.0,21.0,23.0,22.0,20.0,23.0,20.0,22.0,19.0,22.0,20.0,21.0,20.0,24.0,22.0,19.0,23.0,22.0,22.0,25.0,24.0,23.0,24.0,25.0,24.0,22.0,24.0,22.0,23.0,23.0,23.0,22.0,22.0,24.0,20.0,20.0,22.0,23.0,0.0,,-1,-1,2.7777
1787649000.6676,2026-08-25 11:10:00.667,,,0,0,-0.03965,-0.49531,0.0799,21.1879,-6.8902,-70.3987,0.2652,0.5707,-0.306,4.69105,23.0,21.0,23.0,22.0,20.0,23.0,20.0,22.0,19.0,22.0,20.0,21.0,20.0,24.0,22.0,19.0,23.0,22.0,22.0,25.0,24.0,23.0,24.0,25.0,24.0,22.0,24.0,22.0,23.0,23.0,23.0,22.0,22.0,24.0,20.0,20.0,22.0,23.0,0.0,,-1,-1,2.7485
1787649000.7177,2026-08-25 11:10:00.717,,,0,0,-0.03965,-0.49531,0.07991,21.0157,-7.0326,-70.2235,0.2669,0.5652,-0.3076,4.69558,22.0,20.0,22.0,22.0,22.0,25.0,22.0,22.0,18.0,21.0,17.0,21.0,17.0,20.0,20.0,20.0,19.0,21.0,23.0,25.0,24.0,23.0,24.0,25.0,24.0,22.0,24.0,22.0,23.0,23.0,23.0,22.0,22.0,24.0,20.0,20.0,22.0,23.0,0.0,,-1,-1,2.7082
1787649000.7679,2026-08-25 11:10:00.767,,,0,0,-0.03965,-0.49532,0.07991,20.9574,-6.9398,-70.2692,0.2656,0.5627,-0.2957,4.69004,24.0,19.0,21.0,23.0,19.0,22.0,19.0,21.0,20.0,20.0,21.0,20.0,20.0,21.0,22.0,19.0,20.0,22.0,22.0,25.0,24.0,23.0,24.0,25.0,24.0,22.0,24.0,22.0,23.0,23.0,23.0,22.0,22.0,24.0,20.0,20.0,22.0,23.0,0.0,,-1,-1,2.7575
