timestamp,datetime,ur5_point,ur5_label,ur5_pressing,ur5_done,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7,calib_8,calib_9,calib_10,calib_11,calib_12,calib_13,calib_14,calib_15,calib_16,calib_17,calib_18,calib_19,depth_mm,phase,round_idx,sample_idx,load_cell_N
1787650579.6129,2026-08-25 11:36:19.612,,,0,0,-0.03864,-0.49579,0.07978,22.4344,-7.1858,-70.3539,0.2737,0.6193,0.5427,4.69483,22.0,22.0,20.0,21.0,21.0,20.0,21.0,20.0,21.0,21.0,23.0,20.0,21.0,21.0,24.0,21.0,20.0,23.0,21.0,22.0,21.0,22.0,23.0,21.0,22.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,20.0,21.0,22.0,22.0,22.0,0.0,,-1,-1,2.7149
1787650579.663,2026-08-25 11:36:19.663,,,0,0,-0.03867,-0.49579,0.07979,21.653,-6.7177,-70.0875,0.2685,0.6002,0.5205,4.68602,22.0,20.0,21.0,22.0,22.0,21.0,23.0,22.0,19.0,22.0,22.0,21.0,19.0,21.0,19.0,23.0,22.0,21.0,20.0,22.0,21.0,22.0,23.0,21.0,22.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,20.0,21.0,22.0,22.0,22.0,0.0,,-1,-1,2.7933
1787650579.7131,2026-08-25 11:36:19.713,,,0,0,-0.03866,-0.49578,0.07977,21.7052,-7.1012,-70.376,0.2744,0.6031,0.5152,4.68702,22.0,19.0,20.0,23.0,20.0,20.0,22.0,21.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,21.0,21.0,21.0,22.0,21.0,22.0,23.0,21.0,22.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,20.0,21.0,22.0,22.0,22.0,0.0,,-1,-1,2.7844
1787650579.7633,2026-08-25 11:36:19.763,,,0,0,-0.03865,-0.49576,0.07974,21.9291,-7.1845,-70.3351,0.2781,0.6045,0.5099,4.69785,22.0,19.0,20.0,23.0,20.0,20.0,22.0,21.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,21.0,21.0,21.0,22.0,21.0,22.0,23.0,21.0,22.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,20.0,21.0,22.0,22.0,22.0,0.0,,-1,-1,2.6881
1787650579.8134,2026-08-25 11:36:19.813,,,0,0,-0.03864,-0.49578,0.07972,21.5681,-7.0389,-70.3262,0.2744,0.5961,0.4969,4.684,21.0,21.0,19.0,21.0,20.0,20.0,21.0,20.0,19.0,21.0,19.0,18.0,19.0,19.0,22.0,21.0,21.0,19.0,19.0,22.0,21.0,22.0,23.0,21.0,22.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,20.0,21.0,22.0,22.0,22.0,0.0,,-1,-1,2.8113
1787650579.8635,2026-08-25 11:36:19.863,,,0,0,-0.03864,-0.49577,0.07969,21.5799,-7.1059,-70.1554,0.2742,0.5988,0.49,4.69785,21.0,21.0,19.0,21.0,20.0,20.0,21.0,20.0,19.0,21.0,19.0,18.0,19.0,19.0,22.0,21.0,21.0,19.0,19.0,22.0,21.0,22.0,23.0,21.0,22.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,20.0,21.0,22.0,22.0,22.0,0.0,,-1,-1,2.6881
1787650579.9136,2026-08-25 11:36:19.913,,,0,0,-0.03864,-0.49579,0.0797,22.2101,-7.2736,-70.1176,0.2797,0.6149,0.4995,4.69004,20.0,19.0,21.0,20.0,20.0,20.0,22.0,20.0,20.0,21.0,20.0,19.0,20.0,21.0,20.0,21.0,20.0,20.0,19.0,22.0,21.0,22.0,23.0,21.0,22.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,20.0,21.0,22.0,22.0,22.0,0.0,,-1,-1,2.7575
1787650579.9637,2026-08-25 11:36:19.963,,,0,0,-0.03864,-0.4958,0.0797,21.8383,-6.9902,-70.1727,0.2718,0.6056,0.4873,4.68375,20.0,19.0,21.0,20.0,20.0,20.0,22.0,20.0,20.0,21.0,20.0,19.0,20.0,21.0,20.0,21.0,20.0,20.0,19.0,22.0,21.0,22.0,23.0,21.0,22.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,20.0,21.0,22.0,22.0,22.0,0.0,,-1,-1,2.8135
1787650580.0139,2026-08-25 11:36:20.013,,,0,0,-0.03865,-0.4958,0.07971,21.9497,-7.1486,-70.1969,0.2762,0.6063,0.4814,4.68879,20.0,19.0,19.0,20.0,20.0,19.0,21.0,22.0,22.0,21.0,21.0,22.0,22.0,23.0,21.0,23.0,22.0,20.0,21.0,22.0,21.0,22.0,23.0,21.0,22.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,20.0,21.0,22.0,22.0,22.0,0.0,,-1,-1,2.7687
1787650580.064,2026-08-25 11:36:20.064,,,0,0,-0.03864,-0.49581,0.07971,22.1465,-7.4951,-70.3173,0.2806,0.6105,0.4859,4.69458,23.0,19.0,19.0,23.0,21.0,19.0,22.0,20.0,22.0,23.0,19.0,19.0,22.0,22.0,19.0,20.0,23.0,18.0,19.0,22.0,21.0,22.0,23.0,21.0,22.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,20.0,21.0,22.0,22.0,22.0,0.0,,-1,-1,2.7172
