timestamp,datetime,ur5_point,ur5_label,ur5_pressing,ur5_done,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7,calib_8,calib_9,calib_10,calib_11,calib_12,calib_13,calib_14,calib_15,calib_16,calib_17,calib_18,calib_19,depth_mm,phase,round_idx,sample_idx,load_cell_N
1787649048.4623,2026-08-25 11:10:48.462,,,0,0,-0.03955,-0.49525,0.07985,21.0434,-6.9203,-69.8755,0.2704,0.5729,-0.2782,4.69055,22.0,21.0,19.0,21.0,21.0,21.0,21.0,21.0,20.0,22.0,19.0,19.0,20.0,23.0,20.0,20.0,22.0,21.0,22.0,25.0,26.0,27.0,23.0,23.0,26.0,23.0,21.0,21.0,25.0,21.0,20.0,22.0,23.0,22.0,19.0,22.0,22.0,21.0,0.0,,-1,-1,2.753
1787649048.5124,2026-08-25 11:10:48.512,,,0,0,-0.03952,-0.49525,0.07984,21.4318,-7.1421,-70.016,0.2753,0.5831,-0.2668,4.69181,22.0,21.0,19.0,21.0,21.0,21.0,21.0,21.0,20.0,22.0,19.0,19.0,20.0,23.0,20.0,20.0,22.0,21.0,22.0,25.0,26.0,27.0,23.0,23.0,26.0,23.0,21.0,21.0,25.0,21.0,20.0,22.0,23.0,22.0,19.0,22.0,22.0,21.0,0.0,,-1,-1,2.7418
1787649048.5625,2026-08-25 11:10:48.562,,,0,0,-0.03954,-0.49523,0.07983,21.4157,-7.1943,-70.0424,0.2738,0.5827,-0.2567,4.69181,22.0,21.0,22.0,22.0,21.0,23.0,21.0,19.0,18.0,20.0,19.0,18.0,18.0,21.0,21.0,18.0,21.0,22.0,20.0,25.0,26.0,27.0,23.0,23.0,26.0,23.0,21.0,21.0,25.0,21.0,20.0,22.0,23.0,22.0,19.0,22.0,22.0,21.0,0.0,,-1,-1,2.7418
1787649048.6126,2026-08-25 11:10:48.612,,,0,0,-0.03957,-0.49526,0.07984,21.1359,-6.9811,-69.7026,0.2735,0.5721,-0.2567,4.68425,22.0,21.0,22.0,22.0,21.0,23.0,21.0,19.0,18.0,20.0,19.0,18.0,18.0,21.0,21.0,18.0,21.0,22.0,20.0,25.0,26.0,27.0,23.0,23.0,26.0,23.0,21.0,21.0,25.0,21.0,20.0,22.0,23.0,22.0,19.0,22.0,22.0,21.0,0.0,,-1,-1,2.809
1787649048.6628,2026-08-25 11:10:48.662,,,0,0,-0.03962,-0.49527,0.07985,21.5194,-7.213,-69.687,0.2761,0.5849,-0.2449,4.69735,21.0,19.0,22.0,20.0,20.0,23.0,21.0,21.0,19.0,20.0,19.0,20.0,20.0,22.0,22.0,19.0,21.0,21.0,23.0,25.0,26.0,27.0,23.0,23.0,26.0,23.0,21.0,21.0,25.0,21.0,20.0,22.0,23.0,22.0,19.0,22.0,22.0,21.0,0.0,,-1,-1,2.6925
1787649048.7128,2026-08-25 11:10:48.712,,,0,0,-0.03964,-0.49532,0.07989,21.1962,-7.0922,-69.8,0.2742,0.5777,-0.25,4.68904,23.0,21.0,20.0,22.0,22.0,22.0,21.0,19.0,18.0,21.0,19.0,19.0,20.0,20.0,22.0,17.0,21.0,22.0,21.0,25.0,26.0,27.0,23.0,23.0,26.0,23.0,21.0,21.0,25.0,21.0,20.0,22.0,23.0,22.0,19.0,22.0,22.0,21.0,0.0,,-1,-1,2.7665
1787649048.7629,2026-08-25 11:10:48.762,,,0,0,-0.03964,-0.49529,0.07987,21.1774,-7.3379,-69.833,0.2791,0.5795,-0.2422,4.68954,23.0,21.0,20.0,22.0,22.0,22.0,21.0,19.0,18.0,21.0,19.0,19.0,20.0,20.0,22.0,17.0,21.0,22.0,21.0,25.0,26.0,27.0,23.0,23.0,26.0,23.0,21.0,21.0,25.0,21.0,20.0,22.0,23.0,22.0,19.0,22.0,22.0,21.0,0.0,,-1,-1,2.762
1787649048.8131,2026-08-25 11:10:48.813,,,0,0,-0.03964,-0.4953,0.07988,20.9639,-7.0405,-69.728,0.2742,0.5747,-0.2406,4.69735,22.0,21.0,23.0,21.0,20.0,23.0,23.0,20.0,19.0,22.0,18.0,19.0,20.0,23.0,20.0,18.0,22.0,21.0,22.0,25.0,26.0,27.0,23.0,23.0,26.0,23.0,21.0,21.0,25.0,21.0,20.0,22.0,23.0,22.0,19.0,22.0,22.0,21.0,0.0,,-1,-1,2.6925
1787649048.8631,2026-08-25 11:10:48.863,,,0,0,-0.03963,-0.4953,0.0799,21.3382,-7.5357,-69.899,0.2826,0.5812,-0.2368,4.68627,22.0,21.0,23.0,21.0,20.0,23.0,23.0,20.0,19.0,22.0,18.0,19.0,20.0,23.0,20.0,18.0,22.0,21.0,22.0,25.0,26.0,27.0,23.0,23.0,26.0,23.0,21.0,21.0,25.0,21.0,20.0,22.0,23.0,22.0,19.0,22.0,22.0,21.0,0.0,,-1,-1,2.7911
1787649048.9133,2026-08-25 11:10:48.913,,,0,0,-0.03964,-0.49531,0.0799,21.4239,-7.4922,-69.9529,0.2786,0.5825,-0.2306,4.69785,22.0,20.0,23.0,21.0,20.0,25.0,20.0,21.0,19.0,22.0,20.0,20.0,20.0,21.0,20.0,19.0,20.0,22.0,21.0,25.0,26.0,27.0,23.0,23.0,26.0,23.0,21.0,21.0,25.0,21.0,20.0,22.0,23.0,22.0,19.0,22.0,22.0,21.0,0.0,,-1,-1,2.6881
