timestamp,datetime,ur5_point,ur5_label,ur5_pressing,ur5_done,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7,calib_8,calib_9,calib_10,calib_11,calib_12,calib_13,calib_14,calib_15,calib_16,calib_17,calib_18,calib_19,depth_mm,phase,round_idx,sample_idx,load_cell_N
1787655553.1196,2026-08-25 12:59:13.119,,,0,0,-0.03934,-0.49614,0.08096,22.5109,-7.1436,-74.2094,0.2925,0.6249,-0.0344,4.69332,19.0,21.0,22.0,20.0,22.0,23.0,21.0,21.0,23.0,22.0,22.0,20.0,21.0,23.0,24.0,22.0,23.0,25.0,22.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,23.0,21.0,23.0,21.0,21.0,23.0,21.0,22.0,0.0,,-1,-1,2.7284
1787655553.1697,2026-08-25 12:59:13.169,,,0,0,-0.03935,-0.49612,0.08092,22.0022,-7.3712,-74.2248,0.3006,0.6163,-0.0244,4.68778,21.0,20.0,24.0,22.0,21.0,23.0,22.0,21.0,22.0,23.0,21.0,18.0,21.0,24.0,24.0,21.0,23.0,24.0,22.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,23.0,21.0,23.0,21.0,21.0,23.0,21.0,22.0,0.0,,-1,-1,2.7777
1787655553.2198,2026-08-25 12:59:13.219,,,0,0,-0.03935,-0.49611,0.08091,22.3994,-7.2242,-74.1701,0.2933,0.6244,-0.0309,4.69986,21.0,20.0,24.0,22.0,21.0,23.0,22.0,21.0,22.0,23.0,21.0,18.0,21.0,24.0,24.0,21.0,23.0,24.0,22.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,23.0,21.0,23.0,21.0,21.0,23.0,21.0,22.0,0.0,,-1,-1,2.6701
1787655553.2699,2026-08-25 12:59:13.269,,,0,0,-0.03938,-0.4961,0.08091,22.1399,-7.2155,-74.2588,0.2961,0.6134,-0.0226,4.68425,20.0,22.0,24.0,20.0,22.0,23.0,22.0,21.0,22.0,22.0,21.0,20.0,21.0,22.0,24.0,23.0,22.0,23.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,23.0,21.0,23.0,21.0,21.0,23.0,21.0,22.0,0.0,,-1,-1,2.809
1787655553.3201,2026-08-25 12:59:13.320,,,0,0,-0.03943,-0.49611,0.08091,21.8828,-7.0081,-74.1288,0.2897,0.6095,-0.0159,4.69709,20.0,22.0,24.0,20.0,22.0,23.0,22.0,21.0,22.0,22.0,21.0,20.0,21.0,22.0,24.0,23.0,22.0,23.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,23.0,21.0,23.0,21.0,21.0,23.0,21.0,22.0,0.0,,-1,-1,2.6948
1787655553.3701,2026-08-25 12:59:13.370,,,0,0,-0.03944,-0.4961,0.08092,22.0599,-7.1936,-74.096,0.2908,0.615,-0.0097,4.69684,20.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,23.0,20.0,21.0,21.0,23.0,22.0,23.0,22.0,23.0,22.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,23.0,21.0,23.0,21.0,21.0,23.0,21.0,22.0,0.0,,-1,-1,2.697
1787655553.4202,2026-08-25 12:59:13.420,,,0,0,-0.03944,-0.49611,0.08091,22.0983,-7.0714,-74.2979,0.2924,0.6153,-0.0058,4.69684,20.0,21.0,22.0,23.0,21.0,22.0,21.0,21.0,23.0,23.0,22.0,20.0,21.0,23.0,23.0,22.0,23.0,25.0,22.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,23.0,21.0,23.0,21.0,21.0,23.0,21.0,22.0,0.0,,-1,-1,2.697
1787655553.4704,2026-08-25 12:59:13.470,,,0,0,-0.03944,-0.49611,0.08091,22.3253,-7.151,-74.1674,0.297,0.6183,0.0021,4.69886,20.0,21.0,22.0,23.0,21.0,22.0,21.0,21.0,23.0,23.0,22.0,20.0,21.0,23.0,23.0,22.0,23.0,25.0,22.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,23.0,21.0,23.0,21.0,21.0,23.0,21.0,22.0,0.0,,-1,-1,2.6791
1787655553.5205,2026-08-25 12:59:13.520,,,0,0,-0.03943,-0.4961,0.08091,22.2962,-7.3062,-74.2078,0.295,0.6215,0.0107,4.68778,21.0,21.0,23.0,21.0,21.0,22.0,22.0,23.0,24.0,23.0,22.0,21.0,22.0,24.0,24.0,22.0,24.0,24.0,24.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,23.0,21.0,23.0,21.0,21.0,23.0,21.0,22.0,0.0,,-1,-1,2.7777
1787655553.5705,2026-08-25 12:59:13.570,,,0,0,-0.03944,-0.4961,0.0809,21.945,-6.7196,-74.0404,0.2813,0.6148,0.0127,4.69986,21.0,21.0,23.0,21.0,21.0,22.0,22.0,23.0,24.0,23.0,22.0,21.0,22.0,24.0,24.0,22.0,24.0,24.0,24.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,23.0,21.0,23.0,21.0,21.0,23.0,21.0,22.0,0.0,,-1,-1,2.6701
