timestamp,datetime,ur5_point,ur5_label,ur5_pressing,ur5_done,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7,calib_8,calib_9,calib_10,calib_11,calib_12,calib_13,calib_14,calib_15,calib_16,calib_17,calib_18,calib_19,depth_mm,phase,round_idx,sample_idx,load_cell_N
1787752377.617,2026-08-26 15:52:57.617,,,0,0,-0.03863,-0.4958,0.07971,5.818,-3.9102,-15.8855,0.0898,0.1345,0.0042,4.69332,19.0,19.0,18.0,19.0,21.0,19.0,18.0,18.0,19.0,18.0,18.0,18.0,17.0,19.0,20.0,21.0,22.0,18.0,22.0,18.0,19.0,19.0,18.0,18.0,20.0,19.0,20.0,19.0,18.0,17.0,19.0,19.0,19.0,19.0,21.0,20.0,18.0,22.0,0.0,,-1,-1,2.7284
1787752377.667,2026-08-26 15:52:57.667,,,0,0,-0.03866,-0.4958,0.07971,5.484,-3.6087,-15.7603,0.0893,0.1278,0.0067,4.70062,19.0,19.0,18.0,19.0,21.0,19.0,18.0,18.0,19.0,18.0,18.0,18.0,17.0,19.0,20.0,21.0,22.0,18.0,22.0,18.0,19.0,19.0,18.0,18.0,20.0,19.0,20.0,19.0,18.0,17.0,19.0,19.0,19.0,19.0,21.0,20.0,18.0,22.0,0.0,,-1,-1,2.6634
1787752377.7171,2026-08-26 15:52:57.717,,,0,0,-0.03864,-0.4958,0.0797,5.5907,-3.5675,-15.804,0.0818,0.1293,0.0044,4.70213,19.0,20.0,19.0,19.0,19.0,21.0,19.0,19.0,21.0,18.0,18.0,18.0,19.0,20.0,20.0,21.0,21.0,18.0,23.0,18.0,19.0,19.0,18.0,18.0,20.0,19.0,20.0,19.0,18.0,17.0,19.0,19.0,19.0,19.0,21.0,20.0,18.0,22.0,0.0,,-1,-1,2.65
1787752377.7673,2026-08-26 15:52:57.767,,,0,0,-0.03863,-0.49581,0.07972,5.866,-3.8976,-15.7516,0.0917,0.1352,0.006,4.69256,18.0,20.0,20.0,20.0,20.0,20.0,21.0,19.0,20.0,17.0,17.0,19.0,19.0,20.0,19.0,21.0,19.0,17.0,23.0,18.0,19.0,19.0,18.0,18.0,20.0,19.0,20.0,19.0,18.0,17.0,19.0,19.0,19.0,19.0,21.0,20.0,18.0,22.0,0.0,,-1,-1,2.7351
1787752377.8174,2026-08-26 15:52:57.817,,,0,0,-0.03866,-0.49581,0.07973,5.6922,-3.5961,-15.6367,0.0847,0.1309,0.0076,4.69785,18.0,20.0,20.0,20.0,20.0,20.0,21.0,19.0,20.0,17.0,17.0,19.0,19.0,20.0,19.0,21.0,19.0,17.0,23.0,18.0,19.0,19.0,18.0,18.0,20.0,19.0,20.0,19.0,18.0,17.0,19.0,19.0,19.0,19.0,21.0,20.0,18.0,22.0,0.0,,-1,-1,2.6881
1787752377.8675,2026-08-26 15:52:57.867,,,0,0,-0.03863,-0.4958,0.07972,5.8745,-3.7603,-15.7135,0.0898,0.1347,0.0105,4.69004,21.0,18.0,18.0,20.0,20.0,20.0,20.0,19.0,19.0,16.0,17.0,18.0,19.0,18.0,19.0,21.0,18.0,18.0,21.0,18.0,19.0,19.0,18.0,18.0,20.0,19.0,20.0,19.0,18.0,17.0,19.0,19.0,19.0,19.0,21.0,20.0,18.0,22.0,0.0,,-1,-1,2.7575
1787752377.9176,2026-08-26 15:52:57.917,,,0,0,-0.03863,-0.49582,0.07971,5.3402,-3.3975,-15.5639,0.0812,0.12,0.0035,4.69306,21.0,18.0,18.0,20.0,20.0,20.0,20.0,19.0,19.0,16.0,17.0,18.0,19.0,18.0,19.0,21.0,18.0,18.0,21.0,18.0,19.0,19.0,18.0,18.0,20.0,19.0,20.0,19.0,18.0,17.0,19.0,19.0,19.0,19.0,21.0,20.0,18.0,22.0,0.0,,-1,-1,2.7306
1787752377.9678,2026-08-26 15:52:57.967,,,0,0,-0.03862,-0.4958,0.07971,5.5405,-3.5338,-15.6275,0.0846,0.1269,0.0039,4.68979,19.0,21.0,20.0,19.0,19.0,19.0,20.0,18.0,19.0,17.0,17.0,17.0,20.0,19.0,21.0,20.0,21.0,17.0,22.0,18.0,19.0,19.0,18.0,18.0,20.0,19.0,20.0,19.0,18.0,17.0,19.0,19.0,19.0,19.0,21.0,20.0,18.0,22.0,0.0,,-1,-1,2.7597
1787752378.0179,2026-08-26 15:52:58.017,,,0,0,-0.03864,-0.49581,0.07971,5.6653,-3.4469,-15.6648,0.0849,0.1258,0.0071,4.6913,19.0,21.0,20.0,19.0,19.0,19.0,20.0,18.0,19.0,17.0,17.0,17.0,20.0,19.0,21.0,20.0,21.0,17.0,22.0,18.0,19.0,19.0,18.0,18.0,20.0,19.0,20.0,19.0,18.0,17.0,19.0,19.0,19.0,19.0,21.0,20.0,18.0,22.0,0.0,,-1,-1,2.7463
1787752378.068,2026-08-26 15:52:58.068,,,0,0,-0.03865,-0.49581,0.07972,5.1237,-3.2422,-15.7351,0.08,0.1207,0.0032,4.69735,19.0,19.0,20.0,18.0,20.0,21.0,20.0,18.0,19.0,20.0,18.0,17.0,19.0,19.0,21.0,21.0,21.0,18.0,21.0,18.0,19.0,19.0,18.0,18.0,20.0,19.0,20.0,19.0,18.0,17.0,19.0,19.0,19.0,19.0,21.0,20.0,18.0,22.0,0.0,,-1,-1,2.6925
