timestamp,datetime,ur5_point,ur5_label,ur5_pressing,ur5_done,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7,calib_8,calib_9,calib_10,calib_11,calib_12,calib_13,calib_14,calib_15,calib_16,calib_17,calib_18,calib_19,depth_mm,phase,round_idx,sample_idx,load_cell_N
1787744464.0043,2026-08-26 13:41:04.004,,,0,0,-0.03963,-0.49532,0.07992,4.6171,-3.7348,-11.5274,0.0817,0.0911,-0.5371,4.69155,45.0,40.0,40.0,65385.0,65381.0,65370.0,65363.0,56.0,52.0,45.0,44.0,50.0,40.0,27.0,26.0,24.0,25.0,28.0,30.0,43.0,39.0,41.0,65385.0,65379.0,65371.0,65363.0,57.0,51.0,46.0,40.0,52.0,39.0,28.0,23.0,26.0,27.0,25.0,30.0,0.0,,-1,-1,2.7441
1787744464.0544,2026-08-26 13:41:04.054,,,0,0,-0.03961,-0.49531,0.07992,4.7418,-3.5261,-11.5316,0.0813,0.0964,-0.5367,4.70037,44.0,40.0,40.0,65385.0,65380.0,65370.0,65363.0,55.0,53.0,44.0,42.0,48.0,41.0,28.0,24.0,23.0,26.0,28.0,30.0,43.0,39.0,41.0,65385.0,65379.0,65371.0,65363.0,57.0,51.0,46.0,40.0,52.0,39.0,28.0,23.0,26.0,27.0,25.0,30.0,0.0,,-1,-1,2.6657
1787744464.1045,2026-08-26 13:41:04.104,,,0,0,-0.03964,-0.49531,0.07991,4.7519,-3.5503,-11.4143,0.0771,0.0907,-0.5371,4.69281,44.0,40.0,40.0,65385.0,65380.0,65370.0,65363.0,55.0,53.0,44.0,42.0,48.0,41.0,28.0,24.0,23.0,26.0,28.0,30.0,43.0,39.0,41.0,65385.0,65379.0,65371.0,65363.0,57.0,51.0,46.0,40.0,52.0,39.0,28.0,23.0,26.0,27.0,25.0,30.0,0.0,,-1,-1,2.7329
1787744464.1546,2026-08-26 13:41:04.154,,,0,0,-0.03963,-0.49531,0.07991,4.4713,-3.48,-11.4452,0.0795,0.0902,-0.5446,4.70238,42.0,41.0,41.0,65384.0,65381.0,65369.0,65363.0,58.0,53.0,46.0,42.0,51.0,40.0,26.0,25.0,24.0,25.0,26.0,29.0,43.0,39.0,41.0,65385.0,65379.0,65371.0,65363.0,57.0,51.0,46.0,40.0,52.0,39.0,28.0,23.0,26.0,27.0,25.0,30.0,0.0,,-1,-1,2.6477
1787744464.2047,2026-08-26 13:41:04.204,,,0,0,-0.03963,-0.49532,0.07992,4.8606,-3.5276,-11.3625,0.0752,0.0996,-0.5397,4.69558,42.0,41.0,41.0,65384.0,65381.0,65369.0,65363.0,58.0,53.0,46.0,42.0,51.0,40.0,26.0,25.0,24.0,25.0,26.0,29.0,43.0,39.0,41.0,65385.0,65379.0,65371.0,65363.0,57.0,51.0,46.0,40.0,52.0,39.0,28.0,23.0,26.0,27.0,25.0,30.0,0.0,,-1,-1,2.7082
1787744464.2548,2026-08-26 13:41:04.254,,,0,0,-0.03964,-0.49531,0.0799,4.796,-3.7599,-11.4836,0.0865,0.1005,-0.5374,4.69155,43.0,41.0,39.0,65384.0,65381.0,65369.0,65363.0,54.0,53.0,44.0,41.0,48.0,41.0,28.0,26.0,24.0,25.0,26.0,29.0,43.0,39.0,41.0,65385.0,65379.0,65371.0,65363.0,57.0,51.0,46.0,40.0,52.0,39.0,28.0,23.0,26.0,27.0,25.0,30.0,0.0,,-1,-1,2.7441
1787744464.305,2026-08-26 13:41:04.304,,,0,0,-0.03963,-0.49531,0.07991,5.0531,-3.8717,-11.6641,0.0886,0.1005,-0.5303,4.69105,43.0,41.0,39.0,65385.0,65381.0,65369.0,65363.0,56.0,54.0,45.0,39.0,50.0,41.0,27.0,23.0,24.0,25.0,25.0,30.0,43.0,39.0,41.0,65385.0,65379.0,65371.0,65363.0,57.0,51.0,46.0,40.0,52.0,39.0,28.0,23.0,26.0,27.0,25.0,30.0,0.0,,-1,-1,2.7485
1787744464.3551,2026-08-26 13:41:04.355,,,0,0,-0.03963,-0.49532,0.07992,4.8097,-3.243,-11.5973,0.0689,0.098,-0.5417,4.68979,43.0,41.0,39.0,65385.0,65381.0,65369.0,65363.0,56.0,54.0,45.0,39.0,50.0,41.0,27.0,23.0,24.0,25.0,25.0,30.0,43.0,39.0,41.0,65385.0,65379.0,65371.0,65363.0,57.0,51.0,46.0,40.0,52.0,39.0,28.0,23.0,26.0,27.0,25.0,30.0,0.0,,-1,-1,2.7597
1787744464.4051,2026-08-26 13:41:04.405,,,0,0,-0.03964,-0.49531,0.07991,4.6209,-3.5878,-11.4377,0.0801,0.0904,-0.5349,4.69206,43.0,42.0,40.0,65384.0,65381.0,65370.0,65362.0,56.0,53.0,44.0,40.0,50.0,39.0,25.0,24.0,23.0,24.0,27.0,29.0,43.0,39.0,41.0,65385.0,65379.0,65371.0,65363.0,57.0,51.0,46.0,40.0,52.0,39.0,28.0,23.0,26.0,27.0,25.0,30.0,0.0,,-1,-1,2.7396
1787744464.4552,2026-08-26 13:41:04.455,,,0,0,-0.03965,-0.49532,0.07992,4.6113,-3.5323,-11.5501,0.0782,0.0906,-0.5427,4.69709,43.0,42.0,40.0,65384.0,65381.0,65370.0,65362.0,56.0,53.0,44.0,40.0,50.0,39.0,25.0,24.0,23.0,24.0,27.0,29.0,43.0,39.0,41.0,65385.0,65379.0,65371.0,65363.0,57.0,51.0,46.0,40.0,52.0,39.0,28.0,23.0,26.0,27.0,25.0,30.0,0.0,,-1,-1,2.6948
