timestamp,datetime,ur5_point,ur5_label,ur5_pressing,ur5_done,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7,calib_8,calib_9,calib_10,calib_11,calib_12,calib_13,calib_14,calib_15,calib_16,calib_17,calib_18,calib_19,depth_mm,phase,round_idx,sample_idx,load_cell_N
1787763997.0503,2026-08-26 19:06:37.050,,,0,0,-0.03961,-0.49531,0.07997,6.4834,-3.9579,-19.522,0.1043,0.1519,-0.5381,4.68702,20.0,22.0,21.0,22.0,21.0,23.0,21.0,19.0,23.0,21.0,22.0,19.0,23.0,21.0,23.0,19.0,21.0,22.0,21.0,22.0,21.0,22.0,22.0,21.0,21.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,22.0,21.0,22.0,21.0,22.0,0.0,,-1,-1,2.7844
1787763997.1003,2026-08-26 19:06:37.100,,,0,0,-0.03962,-0.49533,0.08,6.404,-4.0251,-19.4824,0.1043,0.1455,-0.5354,4.69281,19.0,22.0,21.0,19.0,22.0,22.0,23.0,20.0,22.0,22.0,19.0,20.0,22.0,24.0,20.0,20.0,24.0,20.0,22.0,22.0,21.0,22.0,22.0,21.0,21.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,22.0,21.0,22.0,21.0,22.0,0.0,,-1,-1,2.7329
1787763997.1504,2026-08-26 19:06:37.150,,,0,0,-0.03964,-0.49532,0.07998,6.1518,-3.9455,-19.2956,0.1047,0.1396,-0.5469,4.69634,19.0,22.0,21.0,19.0,22.0,22.0,23.0,20.0,22.0,22.0,19.0,20.0,22.0,24.0,20.0,20.0,24.0,20.0,22.0,22.0,21.0,22.0,22.0,21.0,21.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,22.0,21.0,22.0,21.0,22.0,0.0,,-1,-1,2.7015
1787763997.2005,2026-08-26 19:06:37.200,,,0,0,-0.03963,-0.49534,0.07998,6.3976,-4.2171,-19.5206,0.1103,0.144,-0.5281,4.69458,21.0,20.0,22.0,19.0,20.0,23.0,21.0,21.0,23.0,22.0,20.0,21.0,22.0,23.0,22.0,22.0,23.0,21.0,22.0,22.0,21.0,22.0,22.0,21.0,21.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,22.0,21.0,22.0,21.0,22.0,0.0,,-1,-1,2.7172
1787763997.2506,2026-08-26 19:06:37.250,,,0,0,-0.03962,-0.49533,0.07996,6.1475,-3.4778,-19.5649,0.0925,0.1407,-0.5336,4.70162,21.0,20.0,22.0,19.0,20.0,23.0,21.0,21.0,23.0,22.0,20.0,21.0,22.0,23.0,22.0,22.0,23.0,21.0,22.0,22.0,21.0,22.0,22.0,21.0,21.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,22.0,21.0,22.0,21.0,22.0,0.0,,-1,-1,2.6545
1787763997.3007,2026-08-26 19:06:37.300,,,0,0,-0.03963,-0.49532,0.07994,5.9957,-3.9467,-19.5335,0.1044,0.1334,-0.5266,4.69961,21.0,22.0,22.0,22.0,22.0,22.0,19.0,20.0,22.0,22.0,21.0,21.0,21.0,23.0,23.0,21.0,22.0,22.0,23.0,22.0,21.0,22.0,22.0,21.0,21.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,22.0,21.0,22.0,21.0,22.0,0.0,,-1,-1,2.6724
1787763997.3508,2026-08-26 19:06:37.350,,,0,0,-0.03962,-0.49532,0.07992,6.1353,-3.9976,-19.5372,0.1058,0.1388,-0.5238,4.6981,20.0,21.0,21.0,22.0,21.0,22.0,21.0,22.0,24.0,22.0,19.0,21.0,24.0,23.0,22.0,22.0,22.0,21.0,24.0,22.0,21.0,22.0,22.0,21.0,21.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,22.0,21.0,22.0,21.0,22.0,0.0,,-1,-1,2.6858
1787763997.4009,2026-08-26 19:06:37.400,,,0,0,-0.03966,-0.49531,0.07991,6.5222,-4.1983,-19.3814,0.1087,0.1464,-0.5102,4.69458,20.0,21.0,21.0,22.0,21.0,22.0,21.0,22.0,24.0,22.0,19.0,21.0,24.0,23.0,22.0,22.0,22.0,21.0,24.0,22.0,21.0,22.0,22.0,21.0,21.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,22.0,21.0,22.0,21.0,22.0,0.0,,-1,-1,2.7172
1787763997.451,2026-08-26 19:06:37.451,,,0,0,-0.03964,-0.49532,0.07992,6.5026,-4.1078,-19.4034,0.1069,0.1463,-0.5124,4.69256,21.0,23.0,22.0,21.0,24.0,23.0,20.0,21.0,23.0,22.0,21.0,21.0,24.0,24.0,22.0,20.0,23.0,21.0,22.0,22.0,21.0,22.0,22.0,21.0,21.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,22.0,21.0,22.0,21.0,22.0,0.0,,-1,-1,2.7351
1787763997.5012,2026-08-26 19:06:37.501,,,0,0,-0.03962,-0.49531,0.07991,6.5146,-4.3384,-19.2748,0.115,0.1458,-0.5026,4.69231,21.0,23.0,22.0,21.0,24.0,23.0,20.0,21.0,23.0,22.0,21.0,21.0,24.0,24.0,22.0,20.0,23.0,21.0,22.0,22.0,21.0,22.0,22.0,21.0,21.0,23.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,22.0,21.0,22.0,21.0,22.0,0.0,,-1,-1,2.7373
