timestamp,datetime,ur5_point,ur5_label,ur5_pressing,ur5_done,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7,calib_8,calib_9,calib_10,calib_11,calib_12,calib_13,calib_14,calib_15,calib_16,calib_17,calib_18,calib_19,depth_mm,phase,round_idx,sample_idx,load_cell_N
1788791850.3649,2026-09-07 16:37:30.364,,,0,0,-0.03944,-0.49608,0.08063,-5.6948,11.7598,-22.69,-0.119,-0.0453,-0.0693,4.69382,24.0,20.0,22.0,22.0,20.0,20.0,20.0,23.0,22.0,22.0,21.0,23.0,21.0,22.0,21.0,24.0,22.0,19.0,22.0,22.0,22.0,21.0,23.0,22.0,21.0,21.0,23.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,0.0,,-1,-1,2.7239
1788791850.4151,2026-09-07 16:37:30.415,,,0,0,-0.03944,-0.49606,0.08058,-5.7472,11.7258,-22.9075,-0.113,-0.0419,-0.107,4.69407,24.0,20.0,22.0,22.0,20.0,20.0,20.0,23.0,22.0,22.0,21.0,23.0,21.0,22.0,21.0,24.0,22.0,19.0,22.0,22.0,22.0,21.0,23.0,22.0,21.0,21.0,23.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,0.0,,-1,-1,2.7217
1788791850.4652,2026-09-07 16:37:30.465,,,0,0,-0.03946,-0.49606,0.08058,-5.7033,11.7403,-22.8937,-0.1139,-0.0399,-0.1091,4.70339,23.0,23.0,22.0,23.0,22.0,21.0,22.0,22.0,21.0,20.0,20.0,24.0,21.0,21.0,21.0,22.0,21.0,20.0,22.0,22.0,22.0,21.0,23.0,22.0,21.0,21.0,23.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,0.0,,-1,-1,2.6388
1788791850.5153,2026-09-07 16:37:30.515,,,0,0,-0.03944,-0.49607,0.08059,-5.661,11.5901,-22.8404,-0.1117,-0.0382,-0.1149,4.69004,23.0,20.0,21.0,24.0,22.0,20.0,21.0,24.0,22.0,20.0,20.0,24.0,22.0,21.0,21.0,24.0,21.0,19.0,25.0,22.0,22.0,21.0,23.0,22.0,21.0,21.0,23.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,0.0,,-1,-1,2.7575
1788791850.5655,2026-09-07 16:37:30.565,,,0,0,-0.03943,-0.49608,0.0806,-5.311,11.1441,-22.8208,-0.0967,-0.0313,-0.1313,4.6986,23.0,20.0,21.0,24.0,22.0,20.0,21.0,24.0,22.0,20.0,20.0,24.0,22.0,21.0,21.0,24.0,21.0,19.0,25.0,22.0,22.0,21.0,23.0,22.0,21.0,21.0,23.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,0.0,,-1,-1,2.6813
1788791850.6155,2026-09-07 16:37:30.615,,,0,0,-0.03944,-0.4961,0.08061,-5.8686,11.9577,-22.9367,-0.1163,-0.0445,-0.1376,4.69986,25.0,22.0,20.0,25.0,22.0,19.0,21.0,21.0,21.0,20.0,19.0,23.0,21.0,21.0,20.0,23.0,22.0,19.0,23.0,22.0,22.0,21.0,23.0,22.0,21.0,21.0,23.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,0.0,,-1,-1,2.6701
1788791850.6656,2026-09-07 16:37:30.665,,,0,0,-0.03943,-0.49609,0.0806,-5.9308,11.833,-22.7949,-0.117,-0.046,-0.1505,4.69659,25.0,22.0,20.0,25.0,22.0,19.0,21.0,21.0,21.0,20.0,19.0,23.0,21.0,21.0,20.0,23.0,22.0,19.0,23.0,22.0,22.0,21.0,23.0,22.0,21.0,21.0,23.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,0.0,,-1,-1,2.6993
1788791850.7157,2026-09-07 16:37:30.715,,,0,0,-0.03944,-0.49609,0.08061,-5.2913,11.2734,-22.7337,-0.1016,-0.0296,-0.1442,4.68753,23.0,22.0,21.0,24.0,23.0,21.0,21.0,22.0,20.0,20.0,20.0,21.0,22.0,21.0,21.0,23.0,22.0,19.0,23.0,22.0,22.0,21.0,23.0,22.0,21.0,21.0,23.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,0.0,,-1,-1,2.7799
1788791850.7658,2026-09-07 16:37:30.765,,,0,0,-0.03943,-0.4961,0.0806,-5.561,11.6746,-22.9398,-0.1136,-0.0396,-0.1591,4.70213,22.0,21.0,22.0,21.0,21.0,20.0,21.0,22.0,22.0,20.0,19.0,22.0,22.0,21.0,20.0,22.0,22.0,20.0,24.0,22.0,22.0,21.0,23.0,22.0,21.0,21.0,23.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,0.0,,-1,-1,2.65
1788791850.8159,2026-09-07 16:37:30.815,,,0,0,-0.03943,-0.49611,0.0806,-5.5236,11.6128,-22.8698,-0.1142,-0.0378,-0.1595,4.69886,22.0,21.0,22.0,21.0,21.0,20.0,21.0,22.0,22.0,20.0,19.0,22.0,22.0,21.0,20.0,22.0,22.0,20.0,24.0,22.0,22.0,21.0,23.0,22.0,21.0,21.0,23.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,0.0,,-1,-1,2.6791
