timestamp,datetime,ur5_point,ur5_label,ur5_pressing,ur5_done,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7,calib_8,calib_9,calib_10,calib_11,calib_12,calib_13,calib_14,calib_15,calib_16,calib_17,calib_18,calib_19,depth_mm,phase,round_idx,sample_idx,load_cell_N
1788795857.2603,2026-09-07 17:44:17.260,,,0,0,-0.03956,-0.49615,0.08064,-4.3754,11.4085,-26.9155,-0.1114,-0.0002,-0.3253,4.69583,21.0,23.0,23.0,20.0,21.0,22.0,22.0,20.0,21.0,24.0,22.0,20.0,20.0,23.0,21.0,21.0,24.0,22.0,21.0,22.0,22.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,21.0,22.0,21.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,0.0,,-1,-1,2.706
1788795857.3104,2026-09-07 17:44:17.310,,,0,0,-0.03955,-0.4961,0.0806,-4.3628,11.3376,-27.2745,-0.1073,0.0003,-0.3299,4.70162,21.0,22.0,23.0,20.0,22.0,22.0,21.0,18.0,19.0,22.0,21.0,19.0,20.0,22.0,20.0,19.0,24.0,21.0,17.0,22.0,22.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,21.0,22.0,21.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,0.0,,-1,-1,2.6545
1788795857.3605,2026-09-07 17:44:17.360,,,0,0,-0.03953,-0.49611,0.08062,-4.2265,11.6164,-27.0786,-0.1139,0.0048,-0.3214,4.69004,21.0,22.0,23.0,20.0,22.0,22.0,21.0,18.0,19.0,22.0,21.0,19.0,20.0,22.0,20.0,19.0,24.0,21.0,17.0,22.0,22.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,21.0,22.0,21.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,0.0,,-1,-1,2.7575
1788795857.4105,2026-09-07 17:44:17.410,,,0,0,-0.03948,-0.49611,0.0806,-4.2015,11.51,-27.2266,-0.1122,0.0036,-0.3306,4.68627,20.0,22.0,22.0,19.0,21.0,21.0,21.0,23.0,20.0,21.0,21.0,22.0,20.0,21.0,20.0,23.0,22.0,21.0,23.0,22.0,22.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,21.0,22.0,21.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,0.0,,-1,-1,2.7911
1788795857.4606,2026-09-07 17:44:17.460,,,0,0,-0.03945,-0.49612,0.08061,-4.6629,11.9364,-26.9947,-0.1223,-0.0084,-0.3391,4.70037,22.0,24.0,22.0,21.0,21.0,20.0,20.0,19.0,20.0,22.0,23.0,20.0,19.0,21.0,22.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,21.0,22.0,21.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,0.0,,-1,-1,2.6657
1788795857.5107,2026-09-07 17:44:17.510,,,0,0,-0.03945,-0.4961,0.08059,-4.5986,11.6803,-26.8809,-0.1179,-0.0084,-0.3416,4.69004,22.0,24.0,22.0,21.0,21.0,20.0,20.0,19.0,20.0,22.0,23.0,20.0,19.0,21.0,22.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,21.0,22.0,21.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,0.0,,-1,-1,2.7575
1788795857.5607,2026-09-07 17:44:17.560,,,0,0,-0.03943,-0.49611,0.08061,-4.4532,11.2599,-27.1265,-0.106,-0.0008,-0.3429,4.70087,19.0,21.0,23.0,19.0,19.0,21.0,24.0,21.0,22.0,22.0,23.0,21.0,23.0,22.0,20.0,23.0,22.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,21.0,22.0,21.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,0.0,,-1,-1,2.6612
1788795857.6108,2026-09-07 17:44:17.610,,,0,0,-0.03946,-0.49611,0.08061,-4.5657,11.6694,-26.9652,-0.1148,-0.002,-0.3529,4.70188,19.0,21.0,23.0,19.0,19.0,21.0,24.0,21.0,22.0,22.0,23.0,21.0,23.0,22.0,20.0,23.0,22.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,21.0,22.0,21.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,0.0,,-1,-1,2.6522
1788795857.6608,2026-09-07 17:44:17.660,,,0,0,-0.03945,-0.4961,0.08059,-4.7623,11.8557,-26.8931,-0.1157,-0.007,-0.3561,4.68702,23.0,24.0,21.0,20.0,22.0,21.0,21.0,23.0,21.0,22.0,22.0,22.0,20.0,21.0,20.0,23.0,22.0,22.0,21.0,22.0,22.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,21.0,22.0,21.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,0.0,,-1,-1,2.7844
1788795857.7109,2026-09-07 17:44:17.710,,,0,0,-0.03945,-0.49611,0.08059,-4.4033,11.7585,-27.1006,-0.1177,0.0015,-0.3556,4.69634,20.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0,20.0,22.0,22.0,21.0,22.0,21.0,21.0,24.0,23.0,23.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,21.0,22.0,21.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,0.0,,-1,-1,2.7015
