timestamp,datetime,ur5_point,ur5_label,ur5_pressing,ur5_done,tcp_x,tcp_y,tcp_z,fx,fy,fz,tx,ty,tz,ai0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7,calib_8,calib_9,calib_10,calib_11,calib_12,calib_13,calib_14,calib_15,calib_16,calib_17,calib_18,calib_19,depth_mm,phase,round_idx,sample_idx,load_cell_N
1787151127.7603,2026-08-19 16:52:07.760,,,0,0,-0.03962,-0.49529,0.08008,-4.5541,10.6043,-23.9272,-0.0863,0.0074,-0.1023,4.69206,16.0,19.0,14.0,16.0,18.0,13.0,21.0,19.0,18.0,14.0,19.0,21.0,19.0,16.0,19.0,17.0,13.0,19.0,16.0,21.0,21.0,16.0,22.0,22.0,16.0,23.0,21.0,23.0,16.0,18.0,21.0,21.0,16.0,16.0,19.0,14.0,18.0,17.0,0.0,,-1,-1,2.7396
1787151127.8104,2026-08-19 16:52:07.810,,,0,0,-0.0396,-0.49528,0.08005,-4.2917,10.5285,-23.9776,-0.0837,0.0163,-0.1038,4.69407,16.0,19.0,14.0,16.0,18.0,13.0,21.0,19.0,18.0,14.0,19.0,21.0,19.0,16.0,19.0,17.0,13.0,19.0,16.0,21.0,21.0,16.0,22.0,22.0,16.0,23.0,21.0,23.0,16.0,18.0,21.0,21.0,16.0,16.0,19.0,14.0,18.0,17.0,0.0,,-1,-1,2.7217
1787151127.8605,2026-08-19 16:52:07.860,,,0,0,-0.03962,-0.49526,0.08003,-4.2969,10.3738,-23.8985,-0.0803,0.014,-0.0982,4.69609,19.0,20.0,14.0,19.0,19.0,15.0,21.0,20.0,16.0,13.0,18.0,21.0,18.0,13.0,18.0,17.0,14.0,19.0,16.0,21.0,21.0,16.0,22.0,22.0,16.0,23.0,21.0,23.0,16.0,18.0,21.0,21.0,16.0,16.0,19.0,14.0,18.0,17.0,0.0,,-1,-1,2.7037
1787151127.9107,2026-08-19 16:52:07.910,,,0,0,-0.03961,-0.49526,0.08003,-4.2737,9.9822,-24.006,-0.0699,0.0156,-0.0883,4.68425,19.0,20.0,14.0,19.0,19.0,15.0,21.0,20.0,16.0,13.0,18.0,21.0,18.0,13.0,18.0,17.0,14.0,19.0,16.0,21.0,21.0,16.0,22.0,22.0,16.0,23.0,21.0,23.0,16.0,18.0,21.0,21.0,16.0,16.0,19.0,14.0,18.0,17.0,0.0,,-1,-1,2.809
1787151127.9608,2026-08-19 16:52:07.960,,,0,0,-0.03963,-0.49527,0.08006,-4.2761,10.3697,-23.9748,-0.0795,0.016,-0.0915,4.69936,18.0,18.0,13.0,19.0,18.0,14.0,22.0,17.0,17.0,12.0,17.0,19.0,19.0,12.0,17.0,15.0,11.0,18.0,15.0,21.0,21.0,16.0,22.0,22.0,16.0,23.0,21.0,23.0,16.0,18.0,21.0,21.0,16.0,16.0,19.0,14.0,18.0,17.0,0.0,,-1,-1,2.6746
1787151128.0109,2026-08-19 16:52:08.010,,,0,0,-0.03962,-0.49527,0.08005,-4.2947,10.5873,-24.0444,-0.0847,0.0119,-0.0887,4.68551,16.0,18.0,12.0,17.0,19.0,13.0,21.0,18.0,14.0,13.0,17.0,18.0,17.0,14.0,19.0,16.0,13.0,19.0,15.0,21.0,21.0,16.0,22.0,22.0,16.0,23.0,21.0,23.0,16.0,18.0,21.0,21.0,16.0,16.0,19.0,14.0,18.0,17.0,0.0,,-1,-1,2.7978
1787151128.061,2026-08-19 16:52:08.061,,,0,0,-0.03963,-0.4953,0.08008,-4.2795,10.4102,-24.0713,-0.0799,0.0134,-0.0894,4.69583,16.0,18.0,12.0,17.0,19.0,13.0,21.0,18.0,14.0,13.0,17.0,18.0,17.0,14.0,19.0,16.0,13.0,19.0,15.0,21.0,21.0,16.0,22.0,22.0,16.0,23.0,21.0,23.0,16.0,18.0,21.0,21.0,16.0,16.0,19.0,14.0,18.0,17.0,0.0,,-1,-1,2.706
1787151128.1111,2026-08-19 16:52:08.111,,,0,0,-0.03963,-0.49531,0.0801,-4.4904,10.3151,-24.0972,-0.0782,0.01,-0.0912,4.69004,17.0,17.0,13.0,17.0,15.0,13.0,21.0,20.0,19.0,13.0,17.0,21.0,20.0,14.0,18.0,17.0,12.0,18.0,16.0,21.0,21.0,16.0,22.0,22.0,16.0,23.0,21.0,23.0,16.0,18.0,21.0,21.0,16.0,16.0,19.0,14.0,18.0,17.0,0.0,,-1,-1,2.7575
1787151128.1612,2026-08-19 16:52:08.161,,,0,0,-0.03963,-0.49531,0.08012,-4.1135,10.0787,-23.8157,-0.073,0.0191,-0.0822,4.69382,17.0,17.0,13.0,17.0,15.0,13.0,21.0,20.0,19.0,13.0,17.0,21.0,20.0,14.0,18.0,17.0,12.0,18.0,16.0,21.0,21.0,16.0,22.0,22.0,16.0,23.0,21.0,23.0,16.0,18.0,21.0,21.0,16.0,16.0,19.0,14.0,18.0,17.0,0.0,,-1,-1,2.7239
1787151128.2113,2026-08-19 16:52:08.211,,,0,0,-0.03964,-0.4953,0.0801,-4.4156,10.5373,-23.8663,-0.0802,0.0119,-0.082,4.68954,18.0,19.0,15.0,18.0,19.0,14.0,21.0,19.0,18.0,12.0,18.0,20.0,20.0,13.0,19.0,17.0,13.0,19.0,17.0,21.0,21.0,16.0,22.0,22.0,16.0,23.0,21.0,23.0,16.0,18.0,21.0,21.0,16.0,16.0,19.0,14.0,18.0,17.0,0.0,,-1,-1,2.762
